Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-23,3,Valur 3-0 FH,Valur,FH,eeeacj91qdk6pru5zwwobaiac,6hd2qp9zye2y5l9k6264h9c0k
2026-04-23,3,Víkingur Reykjavík 3-2 Stjarnan,Víkingur Reykjavík,Stjarnan,eeeacj91qdk6pru5zwwobaiac,5hsj2fxj7n9luy23703grr6s4
2026-04-23,3,Thór 1-0 Fram,Thór,Fram,eeeacj91qdk6pru5zwwobaiac,5ha8z9rh92zepr96k4964kv10
2026-04-23,3,ÍBV 2-6 KR,ÍBV,KR,eeeacj91qdk6pru5zwwobaiac,5g8yvaf0xp9p8500hyo54wduc
2026-04-22,3,Keflavík 0-0 Breidablik,Keflavík,Breidablik,eeeacj91qdk6pru5zwwobaiac,5fqxsnaefdhqw1i6y5kb7f7dg
2026-04-22,3,ÍA 1-1 KA,ÍA,KA,eeeacj91qdk6pru5zwwobaiac,5f7ymuvwtga6kpppw06uoidqs
2026-04-17,2,Stjarnan 3-2 FH,Stjarnan,FH,eeeacj91qdk6pru5zwwobaiac,5ep7nvotsc0uv4fb7jhmhpj4k
2026-04-17,2,Breidablik 1-0 ÍA,Breidablik,ÍA,eeeacj91qdk6pru5zwwobaiac,5e4pmxy1g5i7lytal2rff261g
2026-04-17,2,Fram 3-1 Keflavík,Fram,Keflavík,eeeacj91qdk6pru5zwwobaiac,5dm5n6eqlad2kdyhz0dd2zn6c
2026-04-17,2,KA 0-2 Víkingur Reykjavík,KA,Víkingur Reykjavík,eeeacj91qdk6pru5zwwobaiac,5ck72gsvq8onmvuq2retn2yhg
2026-04-17,2,KR 5-2 Thór,KR,Thór,eeeacj91qdk6pru5zwwobaiac,5c2ebjrgfjrjtkq59yvzky6ms
2026-04-17,2,Valur 2-1 ÍBV,Valur,ÍBV,eeeacj91qdk6pru5zwwobaiac,5d2a0uyexzm3a4xgg1vo6ag44
2026-04-12,1,Fram 3-3 ÍA,Fram,ÍA,eeeacj91qdk6pru5zwwobaiac,5bko88dcsxlnjjt2xzayiy4no
2026-04-12,1,KA 2-3 Stjarnan,KA,Stjarnan,eeeacj91qdk6pru5zwwobaiac,5azcgpxj71p79bn8o27qyayac
2026-04-12,1,Valur 1-2 Thór,Valur,Thór,eeeacj91qdk6pru5zwwobaiac,59s4qh9rhitn82g4i30fc2mfo
2026-04-12,1,KR 3-2 Keflavík,KR,Keflavík,eeeacj91qdk6pru5zwwobaiac,5954hehzan6m0twb25nis6y38
2026-04-12,1,ÍBV 1-1 FH,ÍBV,FH,eeeacj91qdk6pru5zwwobaiac,5adqibxev6p0ee3l6zqz43ggk
2026-04-10,1,Víkingur Reykjavík 1-1 Breidablik,Víkingur Reykjavík,Breidablik,eeeacj91qdk6pru5zwwobaiac,58gq4gre01laikpidgbf9i044
