Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-01,2.0,CRB 0-1 Avaí,CRB,Avaí,7pt8trpd4rbju1v568nuskdn8,6fuc41k29spk0fm1smdt8407o
2026-04-01,2.0,Criciúma 1-1 Athletic Club MG,Criciúma,Athletic Club MG,7pt8trpd4rbju1v568nuskdn8,6ewrm5qy6mavxj8cdb9dlgr2s
2026-04-01,2.0,Ponte Preta 1-1 Ceará,Ponte Preta,Ceará,7pt8trpd4rbju1v568nuskdn8,6b1khyw4ib8h8po0fs0h3pa1g
2026-04-01,2.0,Sport Recife 1-1 Vila Nova,Sport Recife,Vila Nova,7pt8trpd4rbju1v568nuskdn8,6fdhnzdvb7r8axn7doqd4eh3o
2026-04-01,2.0,Atlético Goianiense 1-2 Náutico,Atlético Goianiense,Náutico,7pt8trpd4rbju1v568nuskdn8,6efnugw99hdpc82ja32lnuvis
2026-04-01,2.0,Londrina 2-2 Goiás,Londrina,Goiás,7pt8trpd4rbju1v568nuskdn8,6dc01do90zw0t5hqxnn9pv1g4
2026-04-01,2.0,América Mineiro 1-2 Botafogo SP,América Mineiro,Botafogo SP,7pt8trpd4rbju1v568nuskdn8,6ctz62he1o1vhka9vwzd9vqqc
2026-03-31,2.0,Fortaleza 0-0 Cuiabá,Fortaleza,Cuiabá,7pt8trpd4rbju1v568nuskdn8,6dygds8xq38dzg9t45o2nvaj8
2026-03-31,2.0,Juventude 0-0 Novorizontino,Juventude,Novorizontino,7pt8trpd4rbju1v568nuskdn8,6gc5eunx69dg6ztak55cld34k
2026-03-22,1.0,Novorizontino 1-3 Londrina,Novorizontino,Londrina,7pt8trpd4rbju1v568nuskdn8,63lqkg1jakijrdakn1s7ttkic
2026-03-22,1.0,Goiás 3-1 América Mineiro,Goiás,América Mineiro,7pt8trpd4rbju1v568nuskdn8,65xg19mf5zzs5g37yinxtpxck
2026-03-22,1.0,Athletic Club MG 2-1 Ponte Preta,Athletic Club MG,Ponte Preta,7pt8trpd4rbju1v568nuskdn8,649defx022xpx2plh8i7fni1g
2026-03-22,1.0,Náutico 0-1 Criciúma,Náutico,Criciúma,7pt8trpd4rbju1v568nuskdn8,67mya0v4gmdnuwskek2n6e8t0
2026-03-22,1.0,Avaí 2-0 Juventude,Avaí,Juventude,7pt8trpd4rbju1v568nuskdn8,66pf32xvu3wtiv6ipjznjwis4
2026-03-21,1.0,Cuiabá 0-0 Sport Recife,Cuiabá,Sport Recife,7pt8trpd4rbju1v568nuskdn8,68l7z9lpk44r0uczx8r44fgno
2026-03-21,1.0,Botafogo SP 4-0 Fortaleza,Botafogo SP,Fortaleza,7pt8trpd4rbju1v568nuskdn8,62wrh9tjbqqzh3ko78qnl33mc
2026-03-21,1.0,Operário PR 1-0 Atlético Goianiense,Operário PR,Atlético Goianiense,7pt8trpd4rbju1v568nuskdn8,64to2p83k69qzofzrv6a3lkic
2026-03-21,1.0,Ceará 1-1 São Bernardo,Ceará,São Bernardo,7pt8trpd4rbju1v568nuskdn8,65dj14ssluu76o9s37ldgehw4
2026-03-21,1.0,Vila Nova 2-2 CRB,Vila Nova,CRB,7pt8trpd4rbju1v568nuskdn8,69ir34sctrmptxl1ht32slp1w
