Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-03,5,Pacific 1-3 Vancouver FC,Pacific,Vancouver FC,bmqmrylzzfggzr15yas9dev4k,clj2rf80v225n3x4xfcl0w1zo
2026-05-03,5,Supra du Québec 0-1 Cavalry,Supra du Québec,Cavalry,bmqmrylzzfggzr15yas9dev4k,cl0otunzxmldvfrve6zglkjro
2026-05-02,5,HFX Wanderers 1-3 Forge,HFX Wanderers,Forge,bmqmrylzzfggzr15yas9dev4k,cjza448dxgqwzsxgeirgvxhjo
2026-05-01,5,Inter Toronto 4-1 Atlético Ottawa,Inter Toronto,Atlético Ottawa,bmqmrylzzfggzr15yas9dev4k,ckhkwqe90ft2ax0ovns2jcpas
2026-04-26,4,Pacific 0-1 Forge,Pacific,Forge,bmqmrylzzfggzr15yas9dev4k,cjgx758ddey34etfr9yl3jqxg
2026-04-26,4,Atlético Ottawa 1-1 Vancouver FC,Atlético Ottawa,Vancouver FC,bmqmrylzzfggzr15yas9dev4k,cixjsuzsjwyvfa9z6fhacgv84
2026-04-25,4,Cavalry 1-1 Inter Toronto,Cavalry,Inter Toronto,bmqmrylzzfggzr15yas9dev4k,ciem0uw7815d7cknngczvwges
2026-04-24,4,Supra du Québec 2-1 HFX Wanderers,Supra du Québec,HFX Wanderers,bmqmrylzzfggzr15yas9dev4k,chvv8wbrsyva32xsvsnmdpdlg
2026-04-19,3,Inter Toronto 1-0 Vancouver FC,Inter Toronto,Vancouver FC,bmqmrylzzfggzr15yas9dev4k,cgymnbva7ihxv85oup0i68qhg
2026-04-19,3,Supra du Québec 0-1 Atlético Ottawa,Supra du Québec,Atlético Ottawa,bmqmrylzzfggzr15yas9dev4k,cg1ef9ogymezsalq7vkqh4t90
2026-04-18,3,Forge 0-0 Cavalry,Forge,Cavalry,bmqmrylzzfggzr15yas9dev4k,cfeycwc7ytznk0gqg9nedi6fo
2026-04-18,3,HFX Wanderers 2-2 Pacific,HFX Wanderers,Pacific,bmqmrylzzfggzr15yas9dev4k,ceq5mf6r8oghd4rwb5v6y7j10
2026-04-12,2,Vancouver FC 0-1 Forge,Vancouver FC,Forge,bmqmrylzzfggzr15yas9dev4k,ce6ok0ip87wbyl0ihdqa6rp5g
2026-04-12,2,Cavalry 3-1 Atlético Ottawa,Cavalry,Atlético Ottawa,bmqmrylzzfggzr15yas9dev4k,cdogmtfsj4zbmlpy9lfdxg5qs
2026-04-11,2,Pacific 2-3 Supra du Québec,Pacific,Supra du Québec,bmqmrylzzfggzr15yas9dev4k,cd5hybnbtze32adi6dt8dr9jo
2026-04-11,2,Inter Toronto 2-2 HFX Wanderers,Inter Toronto,HFX Wanderers,bmqmrylzzfggzr15yas9dev4k,cckwoa5gyicn6aj7187r10kr8
2026-04-05,1,Pacific 1-2 Cavalry,Pacific,Cavalry,bmqmrylzzfggzr15yas9dev4k,cc0aystu14fqh9cdnj7q44sno
2026-04-04,1,Vancouver FC 0-1 HFX Wanderers,Vancouver FC,HFX Wanderers,bmqmrylzzfggzr15yas9dev4k,cbd3c0phvvagl5g9uajou3ztg
2026-04-04,1,Forge 2-0 Atlético Ottawa,Forge,Atlético Ottawa,bmqmrylzzfggzr15yas9dev4k,cajx4knwuqfnosh308rbmsdn8
