Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-09,8,Dingnan United 2-3 Changchun Yatai,Dingnan United,Changchun Yatai,aejhwhkgefqzk8r0plwqqhkwk,ctek1hhu9fqcqm9tun8a7ovtg
2026-05-09,8,Nanjing City 2-0 Meizhou Hakka,Nanjing City,Meizhou Hakka,aejhwhkgefqzk8r0plwqqhkwk,csoh8s2pz34832e33zbucamtw
2026-05-03,7,Meizhou Hakka 1-4 Shenzhen Juniors,Meizhou Hakka,Shenzhen Juniors,aejhwhkgefqzk8r0plwqqhkwk,cqznyfd1uewqokk3uf7sak650
2026-05-03,7,Nanjing City 1-0 Suzhou Dongwu,Nanjing City,Suzhou Dongwu,aejhwhkgefqzk8r0plwqqhkwk,cqbx64hn0lwvxrrvaj46umk9g
2026-05-03,7,Ningbo 3-1 Changchun Yatai,Ningbo,Changchun Yatai,aejhwhkgefqzk8r0plwqqhkwk,cpr2tkosruygfk6ixd2bhyn10
2026-05-02,7,Shijiazhuang Gongfu 0-3 Guangxi Hengchen,Shijiazhuang Gongfu,Guangxi Hengchen,aejhwhkgefqzk8r0plwqqhkwk,cp2qbzogwa44kidk76qdvce8k
2026-05-02,7,Guangdong GZ-Power 3-1 Nantong Zhiyun,Guangdong GZ-Power,Nantong Zhiyun,aejhwhkgefqzk8r0plwqqhkwk,cnthaufxc9f4ugxcblfhmnok4
2026-05-02,7,Dingnan United 1-1 Shaanxi Union,Dingnan United,Shaanxi Union,aejhwhkgefqzk8r0plwqqhkwk,cmxllupqcx4lf3cjt8ukpirro
2026-05-02,7,Yanbian Longding 1-1 Wuxi Wugou,Yanbian Longding,Wuxi Wugou,aejhwhkgefqzk8r0plwqqhkwk,cmc84x4mk63oeel9trumtf6z8
2026-05-02,7,Dalian K'un City 2-2 Foshan Nanshi,Dalian K'un City,Foshan Nanshi,aejhwhkgefqzk8r0plwqqhkwk,cktesgl232b5gp5bvp00i7b4k
2026-04-26,6,Nantong Zhiyun 1-0 Dalian K'un City,Nantong Zhiyun,Dalian K'un City,aejhwhkgefqzk8r0plwqqhkwk,cjkl5ns8rmbrfh540pzekytjo
2026-04-26,6,Changchun Yatai 1-2 Guangdong GZ-Power,Changchun Yatai,Guangdong GZ-Power,aejhwhkgefqzk8r0plwqqhkwk,ci2c625e7booimvzzu2emmyhg
2026-04-26,6,Wuxi Wugou 0-0 Shijiazhuang Gongfu,Wuxi Wugou,Shijiazhuang Gongfu,aejhwhkgefqzk8r0plwqqhkwk,cgwpkh34eevull0cf0iieip78
2026-04-25,6,Meizhou Hakka 0-3 Ningbo,Meizhou Hakka,Ningbo,aejhwhkgefqzk8r0plwqqhkwk,cf676q79uo07q31x0mmiql3bo
2026-04-25,6,Guangxi Hengchen 1-0 Nanjing City,Guangxi Hengchen,Nanjing City,aejhwhkgefqzk8r0plwqqhkwk,ce31boo0yd6xz4n8i3muc9o2c
2026-04-25,6,Suzhou Dongwu 0-1 Dingnan United,Suzhou Dongwu,Dingnan United,aejhwhkgefqzk8r0plwqqhkwk,cctykvd6hi4iwnny8zn7h905w
2026-04-25,6,Shenzhen Juniors 0-3 Foshan Nanshi,Shenzhen Juniors,Foshan Nanshi,aejhwhkgefqzk8r0plwqqhkwk,cbhfadufs984swzybcqlccums
2026-04-25,6,Yanbian Longding 0-0 Shaanxi Union,Yanbian Longding,Shaanxi Union,aejhwhkgefqzk8r0plwqqhkwk,cau4ppvq592up7ketcayhj7kk
2026-04-19,5,Shijiazhuang Gongfu 1-2 Dingnan United,Shijiazhuang Gongfu,Dingnan United,aejhwhkgefqzk8r0plwqqhkwk,caadq9ubqefllb8guqqp33uvo
2026-04-19,5,Guangdong GZ-Power 3-0 Meizhou Hakka,Guangdong GZ-Power,Meizhou Hakka,aejhwhkgefqzk8r0plwqqhkwk,c9qi2yywnjkyf4iwf5gdtckyc
2026-04-19,5,Wuxi Wugou 2-3 Dalian K'un City,Wuxi Wugou,Dalian K'un City,aejhwhkgefqzk8r0plwqqhkwk,c93i4uxiuvj8e7fmu8ehyexas
2026-04-18,5,Nanjing City 1-3 Shenzhen Juniors,Nanjing City,Shenzhen Juniors,aejhwhkgefqzk8r0plwqqhkwk,c8e77jvm81n6naxcnjt52kpw4
2026-04-18,5,Suzhou Dongwu 1-0 Guangxi Hengchen,Suzhou Dongwu,Guangxi Hengchen,aejhwhkgefqzk8r0plwqqhkwk,c76i58pc6g3ibkstodaxizqc4
2026-04-18,5,Shaanxi Union 0-0 Nantong Zhiyun,Shaanxi Union,Nantong Zhiyun,aejhwhkgefqzk8r0plwqqhkwk,c7px2nhnu0sfa86xtumpzkw0k
2026-04-18,5,Foshan Nanshi 1-3 Changchun Yatai,Foshan Nanshi,Changchun Yatai,aejhwhkgefqzk8r0plwqqhkwk,c6mdw6alnova5yjhx19t9ggt0
2026-04-18,5,Yanbian Longding 0-0 Ningbo,Yanbian Longding,Ningbo,aejhwhkgefqzk8r0plwqqhkwk,c62m0t1qfuccdsfiydgfl57h0
2026-04-12,4,Shijiazhuang Gongfu 0-1 Foshan Nanshi,Shijiazhuang Gongfu,Foshan Nanshi,aejhwhkgefqzk8r0plwqqhkwk,c5h72jrzx7x7dx22o5dow4idw
2026-04-12,4,Dingnan United 1-1 Nanjing City,Dingnan United,Nanjing City,aejhwhkgefqzk8r0plwqqhkwk,c4ved999up8l8si8djryroopg
2026-04-12,4,Dalian K'un City 1-2 Yanbian Longding,Dalian K'un City,Yanbian Longding,aejhwhkgefqzk8r0plwqqhkwk,c48g5uo0jh65878toeqtu1ous
2026-04-11,4,Meizhou Hakka 2-1 Guangxi Hengchen,Meizhou Hakka,Guangxi Hengchen,aejhwhkgefqzk8r0plwqqhkwk,c2t7pvgf73dqyyudr5bg2bp5g
2026-04-11,4,Guangdong GZ-Power 1-0 Wuxi Wugou,Guangdong GZ-Power,Wuxi Wugou,aejhwhkgefqzk8r0plwqqhkwk,c27amkxod1bi6scije4wjan10
