Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-30,6,Lanzhou Longyuan 0-0 Haimen Codion,Lanzhou Longyuan,Haimen Codion,bdybzzeqo1xsvvlr9e097pfkk,b74fpdezv9je0wicwdgf2t0k4
2026-04-30,6,Guangdong Mingtu 0-0 Jiangxi Lushan,Guangdong Mingtu,Jiangxi Lushan,bdybzzeqo1xsvvlr9e097pfkk,b6qhawkr7g04i72vg0htu0dg4
2026-04-30,6,Qingdao Red Lions 1-1 Tai'an Tiankuang,Qingdao Red Lions,Tai'an Tiankuang,bdybzzeqo1xsvvlr9e097pfkk,b6cl25v1oqia2egvlocb8s0lw
2026-04-30,6,Shanghai Port II 2-1 Changchun Xidu,Shanghai Port II,Changchun Xidu,bdybzzeqo1xsvvlr9e097pfkk,b5ykzuf2erndx5lxe2pdozitw
2026-04-30,6,Dalian Kewei 0-0 Beijing BIT,Dalian Kewei,Beijing BIT,bdybzzeqo1xsvvlr9e097pfkk,b5kmq7orja6ild0s76t4cps0k
2026-04-29,6,Chengdu Rongcheng II 1-1 Hangzhou Linping Wuyue,Chengdu Rongcheng II,Hangzhou Linping Wuyue,bdybzzeqo1xsvvlr9e097pfkk,b56el572gxfx99qamz1ls6vpw
2026-04-29,6,Guizhou Guiyang 3-1 Wuhan Three Towns II,Guizhou Guiyang,Wuhan Three Towns II,bdybzzeqo1xsvvlr9e097pfkk,b4sfua78h8zivcn29c3sjatck
2026-04-29,6,Ganzhou Ruishi 2-1 Xiamen Feilu,Ganzhou Ruishi,Xiamen Feilu,bdybzzeqo1xsvvlr9e097pfkk,b4ed2a044v3x2fekiymzo65n8
2026-04-29,6,Shandong Taishan II 2-1 Shanghai Second,Shandong Taishan II,Shanghai Second,bdybzzeqo1xsvvlr9e097pfkk,b40n8h85h4e3tbkseue3r23o4
2026-04-29,6,Hubei Istar 1-1 Wenzhou,Hubei Istar,Wenzhou,bdybzzeqo1xsvvlr9e097pfkk,b3muqmdelahi6pxxcm75bm2ok
2026-04-29,6,Guangzhou Dandelion 1-2 Shenzhen 2028,Guangzhou Dandelion,Shenzhen 2028,bdybzzeqo1xsvvlr9e097pfkk,b38x3zausa54tmz8w8jzczzf8
2026-04-29,6,Shanxi Chongde Ronghai 2-0 Dalian Yingbo II,Shanxi Chongde Ronghai,Dalian Yingbo II,bdybzzeqo1xsvvlr9e097pfkk,b2v15uio2422ilev6st0pfsb8
2026-04-25,5,Guizhou Guiyang 1-0 Wenzhou,Guizhou Guiyang,Wenzhou,bdybzzeqo1xsvvlr9e097pfkk,b2h65o4msmotckxi2vm64h9g4
2026-04-25,5,Haimen Codion 2-2 Beijing BIT,Haimen Codion,Beijing BIT,bdybzzeqo1xsvvlr9e097pfkk,b23cj8jq4ghnnkr5da83nhedw
2026-04-25,5,Xiamen Feilu 2-1 Wuhan Three Towns II,Xiamen Feilu,Wuhan Three Towns II,bdybzzeqo1xsvvlr9e097pfkk,b1pdzyg9s5au0gn4asgjmdpuc
2026-04-25,5,Shenzhen 2028 3-1 Guangdong Mingtu,Shenzhen 2028,Guangdong Mingtu,bdybzzeqo1xsvvlr9e097pfkk,b1bi2ed657piw5habd0o2426s
2026-04-25,5,Tai'an Tiankuang 0-0 Lanzhou Longyuan,Tai'an Tiankuang,Lanzhou Longyuan,bdybzzeqo1xsvvlr9e097pfkk,b0xoma0uepq97yo286vv187pw
2026-04-25,5,Jiangxi Lushan 0-1 Hubei Istar,Jiangxi Lushan,Hubei Istar,bdybzzeqo1xsvvlr9e097pfkk,b0jt43f114dm7swsp44ryi1hw
2026-04-25,5,Shanxi Chongde Ronghai 0-3 Shanghai Port II,Shanxi Chongde Ronghai,Shanghai Port II,bdybzzeqo1xsvvlr9e097pfkk,b05xc2txuwm1uwvq9jhtj91ck
2026-04-24,5,Chengdu Rongcheng II 0-0 Ganzhou Ruishi,Chengdu Rongcheng II,Ganzhou Ruishi,bdybzzeqo1xsvvlr9e097pfkk,azrri05g6600kcouesclwspw4
2026-04-24,5,Hangzhou Linping Wuyue 2-3 Guangzhou Dandelion,Hangzhou Linping Wuyue,Guangzhou Dandelion,bdybzzeqo1xsvvlr9e097pfkk,azdujq113o2vom5c4tzbug1lg
2026-04-24,5,Shandong Taishan II 1-0 Qingdao Red Lions,Shandong Taishan II,Qingdao Red Lions,bdybzzeqo1xsvvlr9e097pfkk,ayzycce0q1a28tslkks9hrhg4
2026-04-24,5,Shanghai Second 1-1 Dalian Kewei,Shanghai Second,Dalian Kewei,bdybzzeqo1xsvvlr9e097pfkk,aylft38zijwre0zqyhgmae8t0
2026-04-24,5,Dalian Yingbo II 2-2 Changchun Xidu,Dalian Yingbo II,Changchun Xidu,bdybzzeqo1xsvvlr9e097pfkk,ay7he7oqierl64aabi0hru2ac
2026-04-15,4,Wuhan Three Towns II 0-1 Chengdu Rongcheng II,Wuhan Three Towns II,Chengdu Rongcheng II,bdybzzeqo1xsvvlr9e097pfkk,axtl82usqmlmdtdtsmh22m0ic
2026-04-15,4,Lanzhou Longyuan 0-3 Shandong Taishan II,Lanzhou Longyuan,Shandong Taishan II,bdybzzeqo1xsvvlr9e097pfkk,axffjurqwl66r8f1x5ii40hsk
2026-04-15,4,Wenzhou 0-1 Hangzhou Linping Wuyue,Wenzhou,Hangzhou Linping Wuyue,bdybzzeqo1xsvvlr9e097pfkk,ax1i30l6ql6qx4cw5dj9kthjo
2026-04-15,4,Shenzhen 2028 3-3 Xiamen Feilu,Shenzhen 2028,Xiamen Feilu,bdybzzeqo1xsvvlr9e097pfkk,awnqd17kx9apl5ifdt6gnzq50
2026-04-15,4,Qingdao Red Lions 1-1 Dalian Yingbo II,Qingdao Red Lions,Dalian Yingbo II,bdybzzeqo1xsvvlr9e097pfkk,aw9ultutwq5941hv5ng8i7u38
2026-04-15,4,Shanghai Second 0-2 Shanxi Chongde Ronghai,Shanghai Second,Shanxi Chongde Ronghai,bdybzzeqo1xsvvlr9e097pfkk,avw20fu140u749vfhohzm92c4
2026-04-15,4,Changchun Xidu 1-0 Tai'an Tiankuang,Changchun Xidu,Tai'an Tiankuang,bdybzzeqo1xsvvlr9e097pfkk,aviabxddx2hy3l0ax89ryygic
2026-04-14,4,Guangdong Mingtu 1-2 Guangzhou Dandelion,Guangdong Mingtu,Guangzhou Dandelion,bdybzzeqo1xsvvlr9e097pfkk,av3jbb0k2w705xit92gf0arkk
2026-04-14,4,Hubei Istar 2-1 Ganzhou Ruishi,Hubei Istar,Ganzhou Ruishi,bdybzzeqo1xsvvlr9e097pfkk,aupnfvqq1zovb0ulmafbzo9p0
2026-04-14,4,Jiangxi Lushan 2-0 Guizhou Guiyang,Jiangxi Lushan,Guizhou Guiyang,bdybzzeqo1xsvvlr9e097pfkk,aubvlt50tfpqz18d0h76d747o
2026-04-14,4,Dalian Kewei 1-0 Haimen Codion,Dalian Kewei,Haimen Codion,bdybzzeqo1xsvvlr9e097pfkk,aty11zv1rtajbqdjfdk2ww4d0
2026-04-14,4,Beijing BIT 0-2 Shanghai Port II,Beijing BIT,Shanghai Port II,bdybzzeqo1xsvvlr9e097pfkk,atk3dfg2seyst5tyaks26jmdw
2026-04-11,3,Chengdu Rongcheng II 3-1 Shenzhen 2028,Chengdu Rongcheng II,Shenzhen 2028,bdybzzeqo1xsvvlr9e097pfkk,at64jjf3nkd71aob36ly7rs44
2026-04-11,3,Hangzhou Linping Wuyue 1-1 Wuhan Three Towns II,Hangzhou Linping Wuyue,Wuhan Three Towns II,bdybzzeqo1xsvvlr9e097pfkk,asrlw3n2lh9gwggi1hdhtvpxw
2026-04-11,3,Qingdao Red Lions 2-2 Shanghai Second,Qingdao Red Lions,Shanghai Second,bdybzzeqo1xsvvlr9e097pfkk,asditwnsussep8j9oi4cuydck
2026-04-11,3,Shanxi Chongde Ronghai 0-1 Shandong Taishan II,Shanxi Chongde Ronghai,Shandong Taishan II,bdybzzeqo1xsvvlr9e097pfkk,arzo1imzobsjdxxtjydp9ozdg
2026-04-11,3,Dalian Yingbo II 1-1 Lanzhou Longyuan,Dalian Yingbo II,Lanzhou Longyuan,bdybzzeqo1xsvvlr9e097pfkk,arl4t5gau9ezca3s6diup4utw
2026-04-10,3,Ganzhou Ruishi 1-1 Wenzhou,Ganzhou Ruishi,Wenzhou,bdybzzeqo1xsvvlr9e097pfkk,aqt7ej9mukhloj0kcppyjy1as
2026-04-10,3,Haimen Codion 4-0 Changchun Xidu,Haimen Codion,Changchun Xidu,bdybzzeqo1xsvvlr9e097pfkk,aqf936g2pdjgsj7rzswfxso44
2026-04-10,3,Guangzhou Dandelion 2-1 Jiangxi Lushan,Guangzhou Dandelion,Jiangxi Lushan,bdybzzeqo1xsvvlr9e097pfkk,aq1aay5v1nsbvzbu68xu6auc4
2026-04-10,3,Xiamen Feilu 3-3 Guangdong Mingtu,Xiamen Feilu,Guangdong Mingtu,bdybzzeqo1xsvvlr9e097pfkk,apnh9skt86ftmqn7ct0ad6xw4
2026-04-10,3,Tai'an Tiankuang 2-1 Beijing BIT,Tai'an Tiankuang,Beijing BIT,bdybzzeqo1xsvvlr9e097pfkk,ap9n0ouxxfofwu0mnsvjlhhxw
2026-04-10,3,Shanghai Port II 0-0 Dalian Kewei,Shanghai Port II,Dalian Kewei,bdybzzeqo1xsvvlr9e097pfkk,aovt6ti08yopw1tuj3vem0e8k
2026-04-09,3,Guizhou Guiyang 2-1 Hubei Istar,Guizhou Guiyang,Hubei Istar,bdybzzeqo1xsvvlr9e097pfkk,ar7379gh84m84jvi8i5uhqrdg
2026-04-05,2,Lanzhou Longyuan 0-0 Changchun Xidu,Lanzhou Longyuan,Changchun Xidu,bdybzzeqo1xsvvlr9e097pfkk,aohyizzh5kmchhrjdg9qctic4
2026-04-05,2,Shandong Taishan II 4-1 Beijing BIT,Shandong Taishan II,Beijing BIT,bdybzzeqo1xsvvlr9e097pfkk,ao3kukdzhi0amo4ton2x6waac
2026-04-05,2,Hubei Istar 2-2 Xiamen Feilu,Hubei Istar,Xiamen Feilu,bdybzzeqo1xsvvlr9e097pfkk,anpkk76sy88tv5m7cx4sd0844
2026-04-05,2,Shanghai Port II 2-1 Haimen Codion,Shanghai Port II,Haimen Codion,bdybzzeqo1xsvvlr9e097pfkk,anbhcf02j54cri8m5ek00miac
2026-04-05,2,Dalian Kewei 1-0 Qingdao Red Lions,Dalian Kewei,Qingdao Red Lions,bdybzzeqo1xsvvlr9e097pfkk,amxlqs02367h4bim4fw2434lw
2026-04-04,2,Guizhou Guiyang 1-0 Guangdong Mingtu,Guizhou Guiyang,Guangdong Mingtu,bdybzzeqo1xsvvlr9e097pfkk,amjkvov27k9zjwah52lgvfr4k
2026-04-04,2,Wuhan Three Towns II 1-1 Wenzhou,Wuhan Three Towns II,Wenzhou,bdybzzeqo1xsvvlr9e097pfkk,am54w14sme0qh4hnf891vbcb8
2026-04-04,2,Hangzhou Linping Wuyue 0-0 Shenzhen 2028,Hangzhou Linping Wuyue,Shenzhen 2028,bdybzzeqo1xsvvlr9e097pfkk,alqe6v08d8r854riwk2oi2qs4
2026-04-04,2,Ganzhou Ruishi 1-1 Jiangxi Lushan,Ganzhou Ruishi,Jiangxi Lushan,bdybzzeqo1xsvvlr9e097pfkk,albo4qvwz590gqlswkv5l3eok
2026-04-04,2,Guangzhou Dandelion 2-0 Chengdu Rongcheng II,Guangzhou Dandelion,Chengdu Rongcheng II,bdybzzeqo1xsvvlr9e097pfkk,akx82ycdrxwl4kbcu33y1bu38
2026-04-04,2,Tai'an Tiankuang 2-1 Shanxi Chongde Ronghai,Tai'an Tiankuang,Shanxi Chongde Ronghai,bdybzzeqo1xsvvlr9e097pfkk,akimrezst1e3zuibpfh16q1w4
2026-04-04,2,Dalian Yingbo II 3-2 Shanghai Second,Dalian Yingbo II,Shanghai Second,bdybzzeqo1xsvvlr9e097pfkk,ak47xnsazii6vq9jy0w4sdhjo
2026-03-22,1,Shenzhen 2028 1-1 Wuhan Three Towns II,Shenzhen 2028,Wuhan Three Towns II,bdybzzeqo1xsvvlr9e097pfkk,ajppnwgpjv6evyxwztqx0f40k
2026-03-22,1,Qingdao Red Lions 1-1 Changchun Xidu,Qingdao Red Lions,Changchun Xidu,bdybzzeqo1xsvvlr9e097pfkk,aj8j44nmrzm5m156wfggxfh90
