Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-26,8,Henan 0-3 Shanghai Shenhua,Henan,Shanghai Shenhua,e6818x4pwankpph8awr91m1hw,67s4zyyoqu7kix8366scyiwb8
2026-04-26,8,Dalian Yingbo 1-3 Yunnan Yukun,Dalian Yingbo,Yunnan Yukun,e6818x4pwankpph8awr91m1hw,677dj1pnbmi33rc4qlq4rvehg
2026-04-26,8,Chongqing Tonglianglong 1-1 Qingdao West Coast,Chongqing Tonglianglong,Qingdao West Coast,e6818x4pwankpph8awr91m1hw,662zc91at32hq1hw6q3nymfis
2026-04-26,8,Shenzhen Peng City 1-0 Liaoning Tieren,Shenzhen Peng City,Liaoning Tieren,e6818x4pwankpph8awr91m1hw,65if3y9xyi2sl5yh7qm95cmj8
2026-04-26,8,Qingdao Hainiu 4-1 Shandong Taishan,Qingdao Hainiu,Shandong Taishan,e6818x4pwankpph8awr91m1hw,66myyf6dzjs5mswbqcxzlnztg
2026-04-25,8,Shanghai Port 4-0 Wuhan Three Towns,Shanghai Port,Wuhan Three Towns,e6818x4pwankpph8awr91m1hw,64xvdrsb8aiy4byhqrxk4vsic
2026-04-25,8,Beijing Guoan 2-4 Tianjin Jinmen Tiger,Beijing Guoan,Tianjin Jinmen Tiger,e6818x4pwankpph8awr91m1hw,64ffce8ht6eewm1743tvjog0k
2026-04-25,8,Chengdu Rongcheng 4-0 Zhejiang,Chengdu Rongcheng,Zhejiang,e6818x4pwankpph8awr91m1hw,63x4juuhkp6hbmysqtnpiyrkk
2026-04-22,7,Shanghai Shenhua 2-0 Qingdao Hainiu,Shanghai Shenhua,Qingdao Hainiu,e6818x4pwankpph8awr91m1hw,63chleh61rj2nmddg37hc1m38
2026-04-22,7,Qingdao West Coast 0-0 Henan,Qingdao West Coast,Henan,e6818x4pwankpph8awr91m1hw,62uaetunade2g5vhbr0rntv6c
2026-04-22,7,Liaoning Tieren 0-1 Dalian Yingbo,Liaoning Tieren,Dalian Yingbo,e6818x4pwankpph8awr91m1hw,62bnv145u2ifc81ftmu8gh5hw
2026-04-21,7,Tianjin Jinmen Tiger 1-2 Shandong Taishan,Tianjin Jinmen Tiger,Shandong Taishan,e6818x4pwankpph8awr91m1hw,61tbvs6q77wrffxxgc25ukh78
2026-04-21,7,Shanghai Port 1-2 Chongqing Tonglianglong,Shanghai Port,Chongqing Tonglianglong,e6818x4pwankpph8awr91m1hw,61axfgyfuhopnzj3ee2iapqtw
2026-04-21,7,Wuhan Three Towns 2-0 Zhejiang,Wuhan Three Towns,Zhejiang,e6818x4pwankpph8awr91m1hw,60rs2gf952tzt6cxndgiqq6ms
2026-04-21,7,Chengdu Rongcheng 2-1 Yunnan Yukun,Chengdu Rongcheng,Yunnan Yukun,e6818x4pwankpph8awr91m1hw,609cvh8t5xlzatdad4wandwr8
2026-04-21,7,Shenzhen Peng City 0-1 Beijing Guoan,Shenzhen Peng City,Beijing Guoan,e6818x4pwankpph8awr91m1hw,5zpjmjdkmnei1smbpd60yoydw
