Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-02,1.0,Slovan Liberec 1-2 Slavia Praha,Slovan Liberec,Slavia Praha,editpgeuef9yi9a8akjrl4bv8,2ia22i9rguc59iq5xjkprqdjo
2026-05-02,1.0,Zlín 2-1 Dukla Praha,Zlín,Dukla Praha,editpgeuef9yi9a8akjrl4bv8,eqtqkjtidtqsd7uw7tlxi6o7o
2026-05-02,1.0,Baník Ostrava 0-0 Mladá Boleslav,Baník Ostrava,Mladá Boleslav,editpgeuef9yi9a8akjrl4bv8,eqi6pm2x6xauntuh1iagtsbh0
2026-05-02,,Bohemians 1905 1-3 Sigma Olomouc,Bohemians 1905,Sigma Olomouc,editpgeuef9yi9a8akjrl4bv8,2ch4a1uqk547rwtnlm2870vf8
2026-05-02,,Karviná 1-2 Pardubice,Karviná,Pardubice,editpgeuef9yi9a8akjrl4bv8,2c4n6ic0com77of05fks4d3bo
2026-04-25,27.0,Karviná 0-3 Mladá Boleslav,Karviná,Mladá Boleslav,editpgeuef9yi9a8akjrl4bv8,25t1xs4zpoeyemsok0jdro9p0
2026-04-25,27.0,Teplice 0-1 Hradec Králové,Teplice,Hradec Králové,editpgeuef9yi9a8akjrl4bv8,25e7jq22bks2mg5pvobed1bmc
2026-04-25,27.0,Baník Ostrava 0-1 Viktoria Plzeň,Baník Ostrava,Viktoria Plzeň,editpgeuef9yi9a8akjrl4bv8,2513f8p3vdizlclcwuowaxous
2026-04-25,27.0,Pardubice 3-1 Zlín,Pardubice,Zlín,editpgeuef9yi9a8akjrl4bv8,24nkdrfku0m0a2w2cv4hf3fv8
2026-04-25,27.0,Bohemians 1905 2-0 Sparta Praha,Bohemians 1905,Sparta Praha,editpgeuef9yi9a8akjrl4bv8,24ab48oitazo9krl0z93tha1g
2026-04-25,27.0,Jablonec 1-2 Slovan Liberec,Jablonec,Slovan Liberec,editpgeuef9yi9a8akjrl4bv8,23x9829gmc3cdr106gq1wof10
2026-04-25,27.0,Slavia Praha 2-1 Sigma Olomouc,Slavia Praha,Sigma Olomouc,editpgeuef9yi9a8akjrl4bv8,23k8iucfy3wik10e51j8bd1xw
2026-04-25,27.0,Slovácko 1-2 Dukla Praha,Slovácko,Dukla Praha,editpgeuef9yi9a8akjrl4bv8,2376aau7233le4bb6fcnsql90
2026-04-19,30.0,Viktoria Plzeň 0-1 Pardubice,Viktoria Plzeň,Pardubice,editpgeuef9yi9a8akjrl4bv8,2eza63t1099u24qt4icy6nu38
2026-04-19,30.0,Hradec Králové 2-1 Slavia Praha,Hradec Králové,Slavia Praha,editpgeuef9yi9a8akjrl4bv8,2d25nzuebpd75uno6ge0nafx0
2026-04-19,30.0,Sigma Olomouc 2-1 Slovácko,Sigma Olomouc,Slovácko,editpgeuef9yi9a8akjrl4bv8,2e97ujg7xollpb9f52iy12fx0
