Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-10,0,NorthEast United 4-1 Chennaiyin,NorthEast United,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,9x0du1lyr6zb4vqcqa2yla238
2026-05-10,0,Kerala Blasters 3-1 Mohammedan,Kerala Blasters,Mohammedan,d70h9cciplfhf01fn96gpcw0k,9wggw7sd2yegfo2jwub2v6r6c
2026-05-09,0,Jamshedpur 0-1 Bengaluru,Jamshedpur,Bengaluru,d70h9cciplfhf01fn96gpcw0k,9vwu6uhyrbxlgc1fkj9tz88wk
2026-05-09,0,Goa 1-1 Mohun Bagan,Goa,Mohun Bagan,d70h9cciplfhf01fn96gpcw0k,9vde52vosz9ckg3frl5jt3xn8
2026-05-08,0,Sporting Delhi 1-2 Odisha,Sporting Delhi,Odisha,d70h9cciplfhf01fn96gpcw0k,8sz387xby1rqa9eiifarotic4
2026-05-06,0,Punjab 1-0 Chennaiyin,Punjab,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,9ubx6h0rzb62vfk53fld4xixg
2026-05-05,0,Mumbai City 1-2 East Bengal,Mumbai City,East Bengal,d70h9cciplfhf01fn96gpcw0k,9utt6339gz02mdn18ahy7e32s
2026-05-04,0,Odisha 1-1 Bengaluru,Odisha,Bengaluru,d70h9cciplfhf01fn96gpcw0k,9tq51juo6f2o09ubw7hyy14b8
2026-05-02,0,Sporting Delhi 0-0 Punjab,Sporting Delhi,Punjab,d70h9cciplfhf01fn96gpcw0k,9s52sury1dv7t3i79djntzml0
2026-05-02,0,NorthEast United 3-2 Inter Kashi,NorthEast United,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,9rlywyo855wmc6kyapsvl2ec4
2026-05-01,0,Jamshedpur 2-0 Goa,Jamshedpur,Goa,d70h9cciplfhf01fn96gpcw0k,9r3vger74bbdei6nak2xao6qc
2026-04-28,0,East Bengal 3-0 Odisha,East Bengal,Odisha,d70h9cciplfhf01fn96gpcw0k,9qklnd8zimulyiax6rngtfl78
2026-04-26,0,Sporting Delhi 2-2 Mohammedan,Sporting Delhi,Mohammedan,d70h9cciplfhf01fn96gpcw0k,9pi3xbahrvevp3ihex7ll90yc
2026-04-25,0,Jamshedpur 4-1 Chennaiyin,Jamshedpur,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,9oylvylic7fjqyg3x5nm43h90
2026-04-25,0,Bengaluru 0-0 Mumbai City,Bengaluru,Mumbai City,d70h9cciplfhf01fn96gpcw0k,9odh7pc443wozr629786veaz8
2026-04-24,0,NorthEast United 0-2 Goa,NorthEast United,Goa,d70h9cciplfhf01fn96gpcw0k,9n4zypbr1wvn4mhty3j4ab7ro
2026-04-23,0,Kerala Blasters 2-1 Odisha,Kerala Blasters,Odisha,d70h9cciplfhf01fn96gpcw0k,9mjjzq8dmoqdvya5j6lbd9gr8
2026-04-21,0,Chennaiyin 0-0 Mohammedan,Chennaiyin,Mohammedan,d70h9cciplfhf01fn96gpcw0k,8sa6ut8bw4v3dt2zp8xie4qok
2026-04-20,0,Punjab 3-0 Inter Kashi,Punjab,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,9lzcgroyiss3a7xtp31jodmac
2026-04-19,0,NorthEast United 0-1 Mohun Bagan,NorthEast United,Mohun Bagan,d70h9cciplfhf01fn96gpcw0k,9lfa0o0x5pa79hcekpt4qxfdg
2026-04-18,0,Goa 2-0 Mumbai City,Goa,Mumbai City,d70h9cciplfhf01fn96gpcw0k,9kv2lo0lvw5e9zvz0hp7mhr84
2026-04-18,0,Kerala Blasters 2-0 Jamshedpur,Kerala Blasters,Jamshedpur,d70h9cciplfhf01fn96gpcw0k,9kb6cmaicet3sl07vrtfmjc44
2026-04-17,0,Odisha 1-1 Mohammedan,Odisha,Mohammedan,d70h9cciplfhf01fn96gpcw0k,9jrqqz1d0icu7qjcyekx4u0ic
2026-04-17,0,Chennaiyin 1-0 Sporting Delhi,Chennaiyin,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,9j72de566b16itrbhr6fr8idw
2026-04-16,0,East Bengal 3-3 Bengaluru,East Bengal,Bengaluru,d70h9cciplfhf01fn96gpcw0k,9im7ehasoyvdw9t3klrmmp5hw
2026-04-15,0,Kerala Blasters 1-1 NorthEast United,Kerala Blasters,NorthEast United,d70h9cciplfhf01fn96gpcw0k,9i2bn0n3vcp5ijudcqtvamwwk
2026-04-12,0,Mohun Bagan 3-2 Punjab,Mohun Bagan,Punjab,d70h9cciplfhf01fn96gpcw0k,9hiwkg0dgkruwjw80uuzkitjo
