Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-29,13,Nagano Parceiro 1-3 Fukushima United,Nagano Parceiro,Fukushima United,dravffoq2eoiy7a4unvr5djpw,743vbdnxa9plrj05e8idmn5lg
2026-04-29,13,Matsumoto Yamaga 1-1 Júbilo Iwata,Matsumoto Yamaga,Júbilo Iwata,dravffoq2eoiy7a4unvr5djpw,73ks1gqge5ras9blg9wd01ogk
2026-04-29,13,Ehime 0-2 Imabari,Ehime,Imabari,dravffoq2eoiy7a4unvr5djpw,8k2z9wp7wf1ozgkczx6hmu39w
2026-04-29,13,Kagoshima United 1-1 Sagan Tosu,Kagoshima United,Sagan Tosu,dravffoq2eoiy7a4unvr5djpw,a0a5azli1tsfo2tfb3nw1wy6s
2026-04-29,13,Tegevajaro Miyazaki 3-0 Giravanz Kitakyushu,Tegevajaro Miyazaki,Giravanz Kitakyushu,dravffoq2eoiy7a4unvr5djpw,9zr3n2p7fz0lw009jtfslagb8
2026-04-29,13,Oita Trinita 0-1 Roasso Kumamoto,Oita Trinita,Roasso Kumamoto,dravffoq2eoiy7a4unvr5djpw,9z77or698959vuz3sp9e43h90
2026-04-29,13,Renofa Yamaguchi 2-0 Ryūkyū,Renofa Yamaguchi,Ryūkyū,dravffoq2eoiy7a4unvr5djpw,9yjvo4dxhhp3acn746n2eujv8
2026-04-29,13,Reilac Shiga 1-3 Gainare Tottori,Reilac Shiga,Gainare Tottori,dravffoq2eoiy7a4unvr5djpw,9xzdl0jsdih0o1av6241488pg
2026-04-29,13,Kamatamare Sanuki 0-1 Zweigen Kanazawa,Kamatamare Sanuki,Zweigen Kanazawa,dravffoq2eoiy7a4unvr5djpw,8jjmu5jvmua1m3igqlke1nf9w
2026-04-29,13,Nara Club 0-0 Kochi United,Nara Club,Kochi United,dravffoq2eoiy7a4unvr5djpw,8iyem07ga2qckir1jzww7ju38
2026-04-29,13,Osaka 2-2 Tokushima Vortis,Osaka,Tokushima Vortis,dravffoq2eoiy7a4unvr5djpw,8ifffcv6as308emgzr3z6q6ms
2026-04-29,13,Kataller Toyama 2-0 Albirex Niigata,Kataller Toyama,Albirex Niigata,dravffoq2eoiy7a4unvr5djpw,8hw8qqz66yyhpv99okb0wl0k4
2026-04-29,13,Omiya Ardija 1-2 Ventforet Kofu,Omiya Ardija,Ventforet Kofu,dravffoq2eoiy7a4unvr5djpw,731szeji2tukwrcicffg5gf84
2026-04-29,13,Consadole Sapporo 2-1 Fujieda MYFC,Consadole Sapporo,Fujieda MYFC,dravffoq2eoiy7a4unvr5djpw,71z5qt4wxycx1nb8z2lp5gkr8
2026-04-29,13,Sagamihara 1-0 Tochigi City,Sagamihara,Tochigi City,dravffoq2eoiy7a4unvr5djpw,5plgnu9ga22zk6asin4ynsu1g
2026-04-29,13,Yokohama 4-1 Vanraure Hachinohe,Yokohama,Vanraure Hachinohe,dravffoq2eoiy7a4unvr5djpw,5p23snpp0hnaf0zacg902l05w
2026-04-29,13,Thespa Gunma 1-3 Vegalta Sendai,Thespa Gunma,Vegalta Sendai,dravffoq2eoiy7a4unvr5djpw,5oj1gr3ibpu68f8sgis612vpw
2026-04-29,13,Tochigi 1-1 Shonan Bellmare,Tochigi,Shonan Bellmare,dravffoq2eoiy7a4unvr5djpw,5nzl129v5inwzs97wtwnsscgk
2026-04-29,13,Blaublitz Akita 2-0 Montedio Yamagata,Blaublitz Akita,Montedio Yamagata,dravffoq2eoiy7a4unvr5djpw,5nghz2magiyarmvwog8ol56ok
2026-04-29,13,Iwaki 0-1 Gifu,Iwaki,Gifu,dravffoq2eoiy7a4unvr5djpw,72ietin4f1lepsvaxc3oq9mvo
2026-04-26,12,Ehime 3-0 Kamatamare Sanuki,Ehime,Kamatamare Sanuki,dravffoq2eoiy7a4unvr5djpw,8g8pwt4i0mv5wcfiw1xfnisyc
2026-04-26,12,Kochi United 2-1 Tokushima Vortis,Kochi United,Tokushima Vortis,dravffoq2eoiy7a4unvr5djpw,8hcmqve17g391gu2h6yt9b40k
2026-04-26,12,Matsumoto Yamaga 0-1 Nagano Parceiro,Matsumoto Yamaga,Nagano Parceiro,dravffoq2eoiy7a4unvr5djpw,70c13psxjze6rv1on394hec5w
2026-04-26,12,Vanraure Hachinohe 1-0 Blaublitz Akita,Vanraure Hachinohe,Blaublitz Akita,dravffoq2eoiy7a4unvr5djpw,5klxug8g7lh5wntyb1bvfn8k4
2026-04-25,12,Ryūkyū 0-0 Oita Trinita,Ryūkyū,Oita Trinita,dravffoq2eoiy7a4unvr5djpw,9xf7uwp4f0sldacww24hge590
2026-04-25,12,Sagamihara 1-1 Shonan Bellmare,Sagamihara,Shonan Bellmare,dravffoq2eoiy7a4unvr5djpw,5mx6nkobjdwxiv79beb9yka38
2026-04-25,12,Tegevajaro Miyazaki 1-0 Kagoshima United,Tegevajaro Miyazaki,Kagoshima United,dravffoq2eoiy7a4unvr5djpw,9wtvonlwwn6bbwlji5aza1o2c
2026-04-25,12,Sagan Tosu 2-0 Reilac Shiga,Sagan Tosu,Reilac Shiga,dravffoq2eoiy7a4unvr5djpw,9wadt1o3uditqh172mrifrk7o
2026-04-25,12,Giravanz Kitakyushu 2-2 Renofa Yamaguchi,Giravanz Kitakyushu,Renofa Yamaguchi,dravffoq2eoiy7a4unvr5djpw,9vr4abn184x42jq35tjw7ivbo
2026-04-25,12,Gainare Tottori 0-2 Roasso Kumamoto,Gainare Tottori,Roasso Kumamoto,dravffoq2eoiy7a4unvr5djpw,9v68ahahvlboknhh9wxqszqqc
2026-04-25,12,Imabari 1-2 Kataller Toyama,Imabari,Kataller Toyama,dravffoq2eoiy7a4unvr5djpw,8grwjo2iqw3ks6fadvjrjkhsk
2026-04-25,12,Zweigen Kanazawa 1-0 Nara Club,Zweigen Kanazawa,Nara Club,dravffoq2eoiy7a4unvr5djpw,8fpi3manliudsrzdrnv11ru38
2026-04-25,12,Albirex Niigata 1-0 Osaka,Albirex Niigata,Osaka,dravffoq2eoiy7a4unvr5djpw,8f6bqupvu6k31816b2zksneok
2026-04-25,12,Fujieda MYFC 1-1 Omiya Ardija,Fujieda MYFC,Omiya Ardija,dravffoq2eoiy7a4unvr5djpw,71dxx0s9s5xon5kmj0io1kkk4
