Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-29,5,Daegu 1-3 Seoul E-Land,Daegu,Seoul E-Land,aqzfod554aa202i8pjkt4ou1g,dtc3ie9nrprjwjyz9o59o6gpg
2026-03-29,5,Suwon 2-1 Paju Frontier,Suwon,Paju Frontier,aqzfod554aa202i8pjkt4ou1g,dstc22jf36gisbdi5r3nzo07o
2026-03-29,5,Chungbuk Cheongju 1-2 Busan IPark,Chungbuk Cheongju,Busan IPark,aqzfod554aa202i8pjkt4ou1g,ds8x1f9m2zrnsyn714jjvz02c
2026-03-28,5,Ansan Greeners 1-1 Gyeongnam,Ansan Greeners,Gyeongnam,aqzfod554aa202i8pjkt4ou1g,drq2bg5meqgmga44hona8chzo
2026-03-28,5,Cheonan City 1-0 Jeonnam Dragons,Cheonan City,Jeonnam Dragons,aqzfod554aa202i8pjkt4ou1g,dr7gx4kusvja1wxt9vjpiu784
2026-03-28,5,Seongnam 0-0 Gimpo Citizen,Seongnam,Gimpo Citizen,aqzfod554aa202i8pjkt4ou1g,dqokbv33i641qwyuk3d11qluc
2026-03-28,5,Chungnam Asan 1-0 Hwaseong,Chungnam Asan,Hwaseong,aqzfod554aa202i8pjkt4ou1g,dq5ujue1zsk83feeoq016f95g
2026-03-28,5,Yongin 0-1 Suwon Bluewings,Yongin,Suwon Bluewings,aqzfod554aa202i8pjkt4ou1g,dpmzvldbl8qgay2zbb10sodg4
2026-03-22,4,Gyeongnam 1-0 Gimpo Citizen,Gyeongnam,Gimpo Citizen,aqzfod554aa202i8pjkt4ou1g,dp44otzwavo1p3khqqys6ivis
2026-03-22,4,Busan IPark 3-1 Daegu,Busan IPark,Daegu,aqzfod554aa202i8pjkt4ou1g,dol70itr3tj4t8fv72czpy8t0
2026-03-22,4,Hwaseong 0-0 Yongin,Hwaseong,Yongin,aqzfod554aa202i8pjkt4ou1g,do28267ai744tontk0llpintg
2026-03-21,4,Chungbuk Cheongju 1-1 Ansan Greeners,Chungbuk Cheongju,Ansan Greeners,aqzfod554aa202i8pjkt4ou1g,dnhq761he680h9u76iyu7hlhw
2026-03-21,4,Cheonan City 0-0 Seoul E-Land,Cheonan City,Seoul E-Land,aqzfod554aa202i8pjkt4ou1g,dmz2sqedfgbhyxgjukn7c38k4
2026-03-21,4,Gimhae City 0-3 Suwon Bluewings,Gimhae City,Suwon Bluewings,aqzfod554aa202i8pjkt4ou1g,dmg4cyh3i7rxhmti6uosmnvo4
2026-03-21,4,Paju Frontier 2-0 Jeonnam Dragons,Paju Frontier,Jeonnam Dragons,aqzfod554aa202i8pjkt4ou1g,dlxapmj5wy6dj8pkgisfysu8k
2026-03-21,4,Seongnam 2-1 Chungnam Asan,Seongnam,Chungnam Asan,aqzfod554aa202i8pjkt4ou1g,dlelb9v6z372zkyecze05b8r8
2026-03-15,3,Hwaseong 2-2 Cheonan City,Hwaseong,Cheonan City,aqzfod554aa202i8pjkt4ou1g,dkvw2axu9zre8fqvfr19xd9g4
2026-03-15,3,Ansan Greeners 1-2 Paju Frontier,Ansan Greeners,Paju Frontier,aqzfod554aa202i8pjkt4ou1g,dkd3fusmc8rt0dlqdhtjb29zo
2026-03-15,3,Chungnam Asan 2-3 Daegu,Chungnam Asan,Daegu,aqzfod554aa202i8pjkt4ou1g,djunijm68ibiq6aexqbubagpg
2026-03-14,3,Gyeongnam 2-2 Chungbuk Cheongju,Gyeongnam,Chungbuk Cheongju,aqzfod554aa202i8pjkt4ou1g,djcjpt0ebfwy1752oiwlspkwk
2026-03-14,3,Yongin 1-3 Gimpo Citizen,Yongin,Gimpo Citizen,aqzfod554aa202i8pjkt4ou1g,disbcpp9gu710a6askqq6f21g
2026-03-14,3,Suwon Bluewings 2-0 Jeonnam Dragons,Suwon Bluewings,Jeonnam Dragons,aqzfod554aa202i8pjkt4ou1g,di9x9vo8tv8tsmadbqmpqn7ys
2026-03-14,3,Seoul E-Land 2-3 Busan IPark,Seoul E-Land,Busan IPark,aqzfod554aa202i8pjkt4ou1g,dhrmb9d877bnd8xcnlql5y4us
2026-03-14,3,Gimhae City 1-2 Suwon,Gimhae City,Suwon,aqzfod554aa202i8pjkt4ou1g,dh9kxa9yn2kfs0h570al855as
2026-03-08,2,Hwaseong 2-0 Gimhae City,Hwaseong,Gimhae City,aqzfod554aa202i8pjkt4ou1g,dgrbik99bfr3vk7562pao1p90
2026-03-08,2,Cheonan City 0-1 Gimpo Citizen,Cheonan City,Gimpo Citizen,aqzfod554aa202i8pjkt4ou1g,dg8fr6zyozz5ap8o0qj2y67mc
2026-03-08,2,Seongnam 2-2 Chungbuk Cheongju,Seongnam,Chungbuk Cheongju,aqzfod554aa202i8pjkt4ou1g,dfo8x6bfxtjjvo9i8wmmiwaac
2026-03-08,2,Ansan Greeners 1-3 Busan IPark,Ansan Greeners,Busan IPark,aqzfod554aa202i8pjkt4ou1g,df54s0put922q4xjxx8pqosus
2026-03-07,2,Suwon 3-1 Yongin,Suwon,Yongin,aqzfod554aa202i8pjkt4ou1g,dem9z7eiukwijjmfrg72axdsk
2026-03-07,2,Daegu 4-2 Jeonnam Dragons,Daegu,Jeonnam Dragons,aqzfod554aa202i8pjkt4ou1g,de3c2n80hjcxg4gvl92h2eec4
2026-03-07,2,Paju Frontier 0-1 Suwon Bluewings,Paju Frontier,Suwon Bluewings,aqzfod554aa202i8pjkt4ou1g,ddjcjvjzmss4ir652zjxqod1w
2026-03-07,2,Seoul E-Land 1-0 Gyeongnam,Seoul E-Land,Gyeongnam,aqzfod554aa202i8pjkt4ou1g,dd06kn3mbv71ymlvo15744idw
2026-03-02,1,Busan IPark 1-1 Seongnam,Busan IPark,Seongnam,aqzfod554aa202i8pjkt4ou1g,dcgwdq3hq11yaw0646h8t5el0
2026-03-02,1,Chungnam Asan 3-2 Paju Frontier,Chungnam Asan,Paju Frontier,aqzfod554aa202i8pjkt4ou1g,dbv3j0k28z7h9hnzo9freu6fo
2026-03-01,1,Gyeongnam 1-4 Jeonnam Dragons,Gyeongnam,Jeonnam Dragons,aqzfod554aa202i8pjkt4ou1g,db8v16d7yuyxrd8h01qhs7l04
2026-03-01,1,Chungbuk Cheongju 1-4 Suwon,Chungbuk Cheongju,Suwon,aqzfod554aa202i8pjkt4ou1g,dampcp7xb3mkp44uce6kmr1g4
2026-03-01,1,Daegu 1-0 Hwaseong,Daegu,Hwaseong,aqzfod554aa202i8pjkt4ou1g,da0qbncb7rzk7iwvd1ldthrf8
2026-03-01,1,Yongin 2-2 Cheonan City,Yongin,Cheonan City,aqzfod554aa202i8pjkt4ou1g,d9eosi1arbstubdghqh9gsmqc
2026-02-28,1,Suwon Bluewings 2-1 Seoul E-Land,Suwon Bluewings,Seoul E-Land,aqzfod554aa202i8pjkt4ou1g,d8re0sdivgnrk5l49qq2j3eac
2026-02-28,1,Gimhae City 1-4 Ansan Greeners,Gimhae City,Ansan Greeners,aqzfod554aa202i8pjkt4ou1g,d82cr2kz2vmyskhrunwd39kb8
