Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-26,5,Seattle Reign 0-3 Utah Royals,Seattle Reign,Utah Royals,4mrfrvsjf1xhltsvqyb6lx250,1qllv29iufs8efsl075sdao7o
2026-04-26,5,Angel City 1-2 Portland Thorns,Angel City,Portland Thorns,4mrfrvsjf1xhltsvqyb6lx250,1q1b0jmz5bnoynk3jntirq9lg
2026-04-25,5,Denver Summit 2-3 San Diego Wave,Denver Summit,San Diego Wave,4mrfrvsjf1xhltsvqyb6lx250,1phq7gd4eo0ec76ug5xnccw7o
2026-04-25,5,Houston Dash 0-1 North Carolina Courage,Houston Dash,North Carolina Courage,4mrfrvsjf1xhltsvqyb6lx250,1ox7n5butatc8w1o4gorje32s
2026-04-25,5,Chicago Stars 2-0 Boston Legacy,Chicago Stars,Boston Legacy,4mrfrvsjf1xhltsvqyb6lx250,1oddb2dbya8u4zhv1fhxecnx0
2026-04-25,5,Gotham FC 3-0 Bay FC,Gotham FC,Bay FC,4mrfrvsjf1xhltsvqyb6lx250,1nsmg2desj49jtzk60zebj8r8
2026-04-24,5,Washington Spirit 4-0 Kansas City Current,Washington Spirit,Kansas City Current,4mrfrvsjf1xhltsvqyb6lx250,1n95v8ceg0ir7q2axfntnvnys
2026-04-24,5,Racing Louisville 3-2 Orlando Pride,Racing Louisville,Orlando Pride,4mrfrvsjf1xhltsvqyb6lx250,1mnuvsukc9qoc1lkmeopdri8k
2026-04-05,4,Bay FC 0-2 Washington Spirit,Bay FC,Washington Spirit,4mrfrvsjf1xhltsvqyb6lx250,1m44fqydag6o4syl0dwhtvggk
2026-04-04,4,Seattle Reign 0-0 Denver Summit,Seattle Reign,Denver Summit,4mrfrvsjf1xhltsvqyb6lx250,1lkaivi1xuyzniorubkwcuiok
2026-04-04,4,North Carolina Courage 2-2 Portland Thorns,North Carolina Courage,Portland Thorns,4mrfrvsjf1xhltsvqyb6lx250,1kz7vy9ckmnbl9wjojrsta238
2026-04-04,4,Kansas City Current 2-1 Gotham FC,Kansas City Current,Gotham FC,4mrfrvsjf1xhltsvqyb6lx250,1kevo63uy273l74eybwdq63o4
2026-04-03,4,Utah Royals 1-0 Chicago Stars,Utah Royals,Chicago Stars,4mrfrvsjf1xhltsvqyb6lx250,1jrdq1r7h1vcix1fw2vxvhu6s
2026-04-03,4,Houston Dash 4-3 Racing Louisville,Houston Dash,Racing Louisville,4mrfrvsjf1xhltsvqyb6lx250,1j7mvg1fdhw74k3acsgcnncic
2026-04-03,4,Orlando Pride 2-1 Angel City,Orlando Pride,Angel City,4mrfrvsjf1xhltsvqyb6lx250,1ioc00yte2uukg3mqgybr3ok4
2026-04-03,4,Boston Legacy 0-1 San Diego Wave,Boston Legacy,San Diego Wave,4mrfrvsjf1xhltsvqyb6lx250,1i4lku0epmqmdzsqmjlkp4glw
2026-03-29,3,Gotham FC 0-0 Orlando Pride,Gotham FC,Orlando Pride,4mrfrvsjf1xhltsvqyb6lx250,1hjie0285qv1embi0jcr09st0
2026-03-28,3,San Diego Wave 2-0 Chicago Stars,San Diego Wave,Chicago Stars,4mrfrvsjf1xhltsvqyb6lx250,1h0e0azw23f5ouhm549brfpjo
2026-03-28,3,North Carolina Courage 1-3 Bay FC,North Carolina Courage,Bay FC,4mrfrvsjf1xhltsvqyb6lx250,1ge4zmaivdkkvo2g15rdzaj2s
2026-03-28,3,Seattle Reign 2-1 Racing Louisville,Seattle Reign,Racing Louisville,4mrfrvsjf1xhltsvqyb6lx250,1fq1v2yiu2tik2kqpviaxm3v8
2026-03-28,3,Portland Thorns 2-0 Kansas City Current,Portland Thorns,Kansas City Current,4mrfrvsjf1xhltsvqyb6lx250,1f3riynqgwza22jnfaklyscus
