Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-04,32,Torreense 3-2 Penafiel,Torreense,Penafiel,4n61nyrnp5mfkftcs8dr1wcus,eiuhozl3wzllul7u5cnz61lp0
2026-05-04,32,Porto II 1-0 Felgueiras 1932,Porto II,Felgueiras 1932,4n61nyrnp5mfkftcs8dr1wcus,eihleu2qtbbzsme27erd951xw
2026-05-03,32,União de Leiria 0-3 Farense,União de Leiria,Farense,4n61nyrnp5mfkftcs8dr1wcus,ekakzt4gxfpiaqm8y09qyh3is
2026-05-03,32,Paços de Ferreira 1-2 Feirense,Paços de Ferreira,Feirense,4n61nyrnp5mfkftcs8dr1wcus,ei2saext0eyzxjnzln9senhg4
2026-05-03,32,Portimonense 3-2 Chaves,Portimonense,Chaves,4n61nyrnp5mfkftcs8dr1wcus,ej7i0nyd2vvsfmrlth9ekoglw
2026-05-02,32,Academico Viseu 0-0 Vizela,Academico Viseu,Vizela,4n61nyrnp5mfkftcs8dr1wcus,el0qj1dsjqdak91u2765iwhec
2026-05-02,32,Oliveirense 0-0 Lusitânia Lourosa,Oliveirense,Lusitânia Lourosa,4n61nyrnp5mfkftcs8dr1wcus,ejxhpon48h4zcm7e6rqbfusd0
2026-05-01,32,Sporting CP II 0-1 Benfica II,Sporting CP II,Benfica II,4n61nyrnp5mfkftcs8dr1wcus,eknmbvskk15j6rtzzq7ti6xp0
2026-05-01,32,Marítimo 3-2 Leixões,Marítimo,Leixões,4n61nyrnp5mfkftcs8dr1wcus,ejki2ljkcksofc5b0my2tlyc4
2026-04-28,31,Feirense 0-0 Torreense,Feirense,Torreense,4n61nyrnp5mfkftcs8dr1wcus,efj0v8rz17mnwp7shsom0jx1w
2026-04-27,31,Chaves 2-1 Oliveirense,Chaves,Oliveirense,4n61nyrnp5mfkftcs8dr1wcus,egmka1r980soynx04zer5c8b8
2026-04-26,31,Benfica II 1-2 Marítimo,Benfica II,Marítimo,4n61nyrnp5mfkftcs8dr1wcus,ehpm46u5d0wtiabty0jfdnllg
2026-04-26,31,Penafiel 3-0 Porto II,Penafiel,Porto II,4n61nyrnp5mfkftcs8dr1wcus,eg906j35tpoj0ywdb2h7ravpw
2026-04-26,31,Vizela 1-0 Sporting CP II,Vizela,Sporting CP II,4n61nyrnp5mfkftcs8dr1wcus,ef5wnrvn4kgc41d5u2a76y9ec
2026-04-26,31,Lusitânia Lourosa 2-0 Paços de Ferreira,Lusitânia Lourosa,Paços de Ferreira,4n61nyrnp5mfkftcs8dr1wcus,ehcm9bsqg1ejrjgq46fobtk44
2026-04-25,31,Felgueiras 1932 2-1 União de Leiria,Felgueiras 1932,União de Leiria,4n61nyrnp5mfkftcs8dr1wcus,efvy7yguuf5u46wez5od0gff8
2026-04-25,31,Farense 0-0 Academico Viseu,Farense,Academico Viseu,4n61nyrnp5mfkftcs8dr1wcus,eesvc6x37r255yzo8nqftrgno
2026-04-25,31,Leixões 2-0 Portimonense,Leixões,Portimonense,4n61nyrnp5mfkftcs8dr1wcus,egzkpnsw45hj3g6vfn6o07eok
2026-04-22,30,Oliveirense 3-0 Benfica II,Oliveirense,Benfica II,4n61nyrnp5mfkftcs8dr1wcus,edpoe0px1n39ldv1mjevj7i1g
2026-04-20,30,Porto II 0-3 Leixões,Porto II,Leixões,4n61nyrnp5mfkftcs8dr1wcus,ec75q6s4ragdtluibupdyz47o
2026-04-20,30,Sporting CP II 0-1 Felgueiras 1932,Sporting CP II,Felgueiras 1932,4n61nyrnp5mfkftcs8dr1wcus,ebh2akh48yjyxhd4yjeacmqz8
2026-04-19,30,Vizela 0-2 Farense,Vizela,Farense,4n61nyrnp5mfkftcs8dr1wcus,edawl7siqzewgjht8admj3eac
2026-04-19,30,Portimonense 3-2 Lusitânia Lourosa,Portimonense,Lusitânia Lourosa,4n61nyrnp5mfkftcs8dr1wcus,eckcws488knuyq5ejwgoqs5qs
2026-04-18,30,Torreense 1-0 Marítimo,Torreense,Marítimo,4n61nyrnp5mfkftcs8dr1wcus,ecxi0hyhx2vuw3hr4moz79rf8
2026-04-18,30,União de Leiria 4-2 Penafiel,União de Leiria,Penafiel,4n61nyrnp5mfkftcs8dr1wcus,eefrfr3nhw3x8ijj84csrpfkk
2026-04-18,30,Paços de Ferreira 4-3 Chaves,Paços de Ferreira,Chaves,4n61nyrnp5mfkftcs8dr1wcus,ebtznj4m6jewv9qm8z4d2trf8
2026-04-17,30,Academico Viseu 3-0 Feirense,Academico Viseu,Feirense,4n61nyrnp5mfkftcs8dr1wcus,ee2mu4gpayb8e21dc8lipqz9w
