Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-30,14,Al Mesaimeer 1-3 Muaither,Al Mesaimeer,Muaither,ayhfad29vlsgay92z3fcm97v8,empy4npa7ozm2kbfp8ift6qs4
2026-04-30,14,Lusail City 1-2 Al Bidda,Lusail City,Al Bidda,ayhfad29vlsgay92z3fcm97v8,emhh2e7ov1qfcy2162z0nkjdg
2026-04-30,14,Al Kharaitiyat 0-1 Al Waab,Al Kharaitiyat,Al Waab,ayhfad29vlsgay92z3fcm97v8,em8ytjnz67re6o3y1g6urwl5g
2026-04-30,14,Al Khor 0-3 Al Markhiya,Al Khor,Al Markhiya,ayhfad29vlsgay92z3fcm97v8,em0bvfxgij9oucaa6qc5414pg
2026-04-25,13,Muaither 1-2 Al Kharaitiyat,Muaither,Al Kharaitiyat,ayhfad29vlsgay92z3fcm97v8,7hw6ufsfvhjgmc3n1hk0vf504
2026-04-25,13,Al Mesaimeer 3-0 Al Waab,Al Mesaimeer,Al Waab,ayhfad29vlsgay92z3fcm97v8,7hgvdvcxppws3lyf00xc1g07o
2026-04-25,13,Al Markhiya 0-2 Lusail City,Al Markhiya,Lusail City,ayhfad29vlsgay92z3fcm97v8,7h8iue9up99y2y5sctibyi7tg
2026-04-25,13,Al Khor 2-1 Al Bidda,Al Khor,Al Bidda,ayhfad29vlsgay92z3fcm97v8,7gzroagsarnxp74fm3vzj9fkk
2026-04-18,12,Al Bidda 3-4 Muaither,Al Bidda,Muaither,ayhfad29vlsgay92z3fcm97v8,7gow12o12ilazzs7wh3ks5hxw
2026-04-12,12,Lusail City 3-0 Al Mesaimeer,Lusail City,Al Mesaimeer,ayhfad29vlsgay92z3fcm97v8,7geebdbx2qvvye43d0wyq3pjo
2026-04-12,12,Al Waab 1-1 Al Markhiya,Al Waab,Al Markhiya,ayhfad29vlsgay92z3fcm97v8,7g5paozbhb5us8vs4kumzozro
2026-04-12,12,Al Kharaitiyat 2-2 Al Khor,Al Kharaitiyat,Al Khor,ayhfad29vlsgay92z3fcm97v8,7fx4bwahjrmx6qsecfdliag44
