Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-16,7,Sarasota Paradise 1-2 Alta,Sarasota Paradise,Alta,aaqxopxxof8k6ao4qagu5yzo4,c8gf6zsewx2r2ftdrgdq9lz4k
2026-05-13,11,Athletic Club Boise 2-0 Naples,Athletic Club Boise,Naples,aaqxopxxof8k6ao4qagu5yzo4,cobabzx7i6aw3294anjjr56ac
2026-05-13,11,One Knoxville 1-2 Union Omaha,One Knoxville,Union Omaha,aaqxopxxof8k6ao4qagu5yzo4,cnmat3ueq9bjobsm021etpafo
2026-05-10,10,Spokane Velocity 2-1 Naples,Spokane Velocity,Naples,aaqxopxxof8k6ao4qagu5yzo4,cmwmkrn0mrbtqos3fvi0lrnro
2026-05-09,10,Alta 2-0 Forward Madison,Alta,Forward Madison,aaqxopxxof8k6ao4qagu5yzo4,cm924kabujnru1gktc3brrh1w
2026-05-09,10,Corpus Christi 1-3 Charlotte Independence,Corpus Christi,Charlotte Independence,aaqxopxxof8k6ao4qagu5yzo4,cl2mur10iv16ewfsaexa2onbo
2026-05-09,10,Union Omaha 2-2 Portland Hearts of Pine,Union Omaha,Portland Hearts of Pine,aaqxopxxof8k6ao4qagu5yzo4,clnnrjqd0uh166c5g9322ayac
2026-05-09,10,Fort Wayne 1-0 Westchester SC,Fort Wayne,Westchester SC,aaqxopxxof8k6ao4qagu5yzo4,cjyi3wktxl663fmskn8sp40t0
2026-05-09,10,Greenville Triumph 0-3 Richmond Kickers,Greenville Triumph,Richmond Kickers,aaqxopxxof8k6ao4qagu5yzo4,ckh34sg3if1mke2cc6x48x6ac
2026-05-09,10,Chattanooga Red Wolves 4-1 Sarasota Paradise,Chattanooga Red Wolves,Sarasota Paradise,aaqxopxxof8k6ao4qagu5yzo4,cjdywzr3i81oo3zc1pyzo18no
2026-05-06,10,Fort Wayne 3-0 Portland Hearts of Pine,Fort Wayne,Portland Hearts of Pine,aaqxopxxof8k6ao4qagu5yzo4,chxx8ecssk172xzdlh83nndas
2026-05-06,10,Charlotte Independence 1-0 Athletic Club Boise,Charlotte Independence,Athletic Club Boise,aaqxopxxof8k6ao4qagu5yzo4,cgywa72e4mlluuf76nfx4n2tw
