Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-05-09,6,VPS 1-1 Gnistan,VPS,Gnistan,32gy6t29t9240sgu7l11j9nh0,2mjh0s5ufsxcqwz1a2bupos9g
2026-05-09,6,Inter Turku 2-0 Jaro,Inter Turku,Jaro,32gy6t29t9240sgu7l11j9nh0,2m2pifn9p3hh8uvluok4374lw
2026-05-08,6,KuPS 0-0 SJK,KuPS,SJK,32gy6t29t9240sgu7l11j9nh0,2llpj947q7dr8apxye5cubt3o
2026-05-08,6,TPS 1-0 HJK,TPS,HJK,32gy6t29t9240sgu7l11j9nh0,2ky06gumz3uxnpry9jaj0o74k
2026-05-08,6,Ilves 1-0 Oulu,Ilves,Oulu,32gy6t29t9240sgu7l11j9nh0,2kbbyvhkk43bhhx7k24dfk178
2026-05-05,5,Gnistan 2-0 Inter Turku,Gnistan,Inter Turku,32gy6t29t9240sgu7l11j9nh0,2jpkk1568hap59arjg5s4qp78
2026-05-04,5,HJK 1-0 Lahti,HJK,Lahti,32gy6t29t9240sgu7l11j9nh0,2j8fbvbyfvtd2xbfhq9bm2kgk
2026-05-02,5,Oulu 2-0 KuPS,Oulu,KuPS,32gy6t29t9240sgu7l11j9nh0,2invwutw0kcxdp59e638sejh0
2026-05-02,5,Mariehamn 0-1 VPS,Mariehamn,VPS,32gy6t29t9240sgu7l11j9nh0,2i657zews302chcdjrznxy784
2026-05-02,5,Jaro 2-2 TPS,Jaro,TPS,32gy6t29t9240sgu7l11j9nh0,2hnqw7mhvmoywmrfnjtabw5ck
2026-05-02,5,SJK 1-1 Ilves,SJK,Ilves,32gy6t29t9240sgu7l11j9nh0,2h6jy09gl8rqs3givl6a61d04
2026-04-29,14,Inter Turku 1-1 HJK,Inter Turku,HJK,32gy6t29t9240sgu7l11j9nh0,2gp7o3gv702ulrtfe14o9a61g
2026-04-26,4,KuPS 1-1 HJK,KuPS,HJK,32gy6t29t9240sgu7l11j9nh0,2g7w6ft0krzvu5jgkl31qmyhg
