Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-18,7,RFS 2-0 Super Nova,RFS,Super Nova,d1tk0recez2ejvsidutwviwwk,a4ged25xgcjoz2awop4j67hg4
2026-04-18,7,Grobiņa 0-3 Riga FC,Grobiņa,Riga FC,d1tk0recez2ejvsidutwviwwk,a3x12e2xx6euvvbazabaseuj8
2026-04-17,7,Ogre United 1-1 Auda,Ogre United,Auda,d1tk0recez2ejvsidutwviwwk,a3dvakjvip7il0loc399k4dn8
2026-04-17,7,Tukums 2-2 Liepāja,Tukums,Liepāja,d1tk0recez2ejvsidutwviwwk,a2ui4wz9kp8c7invr7glghkic
2026-04-16,7,Daugavpils 1-0 Jelgava,Daugavpils,Jelgava,d1tk0recez2ejvsidutwviwwk,a2bqe5xmff7hzxrpja10hzuhg
2026-04-14,6,Super Nova 1-4 Riga FC,Super Nova,Riga FC,d1tk0recez2ejvsidutwviwwk,a1sp366k0z0w4sp94lkhwbllg
2026-04-13,6,Ogre United 1-1 Grobiņa,Ogre United,Grobiņa,d1tk0recez2ejvsidutwviwwk,a17wys79edy7ctywzp1vznaxg
2026-04-13,6,Tukums 1-2 RFS,Tukums,RFS,d1tk0recez2ejvsidutwviwwk,a0oszva2vyg40lipd455aw9hw
2026-04-12,6,Liepāja 1-1 Jelgava,Liepāja,Jelgava,d1tk0recez2ejvsidutwviwwk,a05jqzvbn82g9a3qub0f9caok
2026-04-12,6,Auda 2-3 Daugavpils,Auda,Daugavpils,d1tk0recez2ejvsidutwviwwk,9zm93bghj4ktevoewofv421w4
2026-04-09,5,Riga FC 3-3 Tukums,Riga FC,Tukums,d1tk0recez2ejvsidutwviwwk,9z1mx7uhqjsdy7mr193f269zo
2026-04-09,5,Grobiņa 0-1 Super Nova,Grobiņa,Super Nova,d1tk0recez2ejvsidutwviwwk,9yich0pgbhba1yzznklbdr0us
2026-04-08,5,Jelgava 0-1 RFS,Jelgava,RFS,d1tk0recez2ejvsidutwviwwk,9xxu9guc6ltle2gy53agm7gno
2026-04-08,5,Liepāja 1-2 Auda,Liepāja,Auda,d1tk0recez2ejvsidutwviwwk,9xets5fiyuz13wfdayfsfqn10
2026-04-07,5,Daugavpils 2-1 Ogre United,Daugavpils,Ogre United,d1tk0recez2ejvsidutwviwwk,9ww27ej1d9t80ksza0vqeisd0
2026-04-05,4,Tukums 1-1 Grobiņa,Tukums,Grobiņa,d1tk0recez2ejvsidutwviwwk,9wbh1ejtpc16zleuofmvizrx0
2026-04-04,4,Jelgava 0-8 Riga FC,Jelgava,Riga FC,d1tk0recez2ejvsidutwviwwk,9vszynx3yuga4tre91ky9t9g4
2026-04-04,4,RFS 0-1 Auda,RFS,Auda,d1tk0recez2ejvsidutwviwwk,9valnyyoxbw6uxi5ut8nhopw4
2026-04-03,4,Daugavpils 2-0 Liepāja,Daugavpils,Liepāja,d1tk0recez2ejvsidutwviwwk,9us9lkb4k5vq6fgd3dss0p1xw
2026-04-03,4,Ogre United 1-2 Super Nova,Ogre United,Super Nova,d1tk0recez2ejvsidutwviwwk,9u9o5yn76opa0tl2v6nizegic
2026-03-22,3,Tukums 1-2 Super Nova,Tukums,Super Nova,d1tk0recez2ejvsidutwviwwk,9tr2h6wb08nagly9w0wlvp1ck
2026-03-21,3,Jelgava 0-1 Grobiņa,Jelgava,Grobiņa,d1tk0recez2ejvsidutwviwwk,9t7phf782pgyuuha9fon48t90
2026-03-21,3,RFS 4-1 Daugavpils,RFS,Daugavpils,d1tk0recez2ejvsidutwviwwk,9sp5kqtvmmi4dh3e3h6aalpg4
2026-03-20,3,Ogre United 0-1 Liepāja,Ogre United,Liepāja,d1tk0recez2ejvsidutwviwwk,9s6dhpw9opmbn7cg6z2ax3uhg
2026-03-20,3,Auda 1-2 Riga FC,Auda,Riga FC,d1tk0recez2ejvsidutwviwwk,9rkzqyyxo7zltnxpsidiinbx0
2026-03-15,2,Ogre United 1-1 Tukums,Ogre United,Tukums,d1tk0recez2ejvsidutwviwwk,9r1mf7u9r5i21w2yf9nv0v7ys
2026-03-15,2,Super Nova 1-1 Jelgava,Super Nova,Jelgava,d1tk0recez2ejvsidutwviwwk,9qht66k4shn8iuot64w4vau50
2026-03-14,2,Riga FC 4-2 Daugavpils,Riga FC,Daugavpils,d1tk0recez2ejvsidutwviwwk,9pz8meorsmp4rhydcmyjn0pw4
2026-03-14,2,Grobiņa 0-2 Auda,Grobiņa,Auda,d1tk0recez2ejvsidutwviwwk,9pgk6497sraeo50arnacx45jo
2026-03-13,2,Liepāja 0-1 RFS,Liepāja,RFS,d1tk0recez2ejvsidutwviwwk,9oxy6s2kii1llk40sfl9u4bo4
2026-03-08,1,Auda 2-1 Super Nova,Auda,Super Nova,d1tk0recez2ejvsidutwviwwk,9ofdly7xrjrbqr7o4a2yw4jys
2026-03-08,1,Jelgava 2-1 Tukums,Jelgava,Tukums,d1tk0recez2ejvsidutwviwwk,9nt9uaai39iblqebalj4c5xqs
2026-03-07,1,Liepāja 2-1 Riga FC,Liepāja,Riga FC,d1tk0recez2ejvsidutwviwwk,9n7glwxoknp0z4sb8olf62x3o
2026-03-07,1,Daugavpils 0-1 Grobiņa,Daugavpils,Grobiņa,d1tk0recez2ejvsidutwviwwk,9mjzjztintl9wjvgsqw4puvx0
2026-03-06,1,RFS 2-0 Ogre United,RFS,Ogre United,d1tk0recez2ejvsidutwviwwk,9luty0jkfbvj3d4my7jjpfdas
