Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Erzgebirge Aue,2.97,2.70,0.27,2.16,1.76,0.40,0.05,0.19,-0.14,2.21,1.94,0.27,4,2,2,1.73,50.10,50.64,43.67,1.4,1.13,178,19,11,19,7.86,16.81,22.18,4,3,19,3,4,60.6,41.59,43.53,40.08,84.93,46.41,5,Schweinfurt 2-4 Erzgebirge Aue,2026-05-16
Schweinfurt,2.70,2.97,-0.27,1.76,2.16,-0.40,0.19,0.05,0.14,1.94,2.21,-0.27,2,4,-2,-1.73,49.90,49.36,48.43,1.13,1.4,214,15,19,11,16.81,7.86,16.96,3,4,24,7,10,85.1,58.41,65.07,59.92,98.07,53.59,1,Schweinfurt 2-4 Erzgebirge Aue,2026-05-16
1860 München,1.66,2.06,-0.40,1.62,1.30,0.32,0.04,0.00,0.04,1.66,1.30,0.36,0,3,-3,-2.60,36.50,36.18,40.45,1.14,1.29,124,12,9,11,7.89,8.53,18.72,4,4,17,3,6,51.2,28.51,122.87,86.29,95.83,35.95,0,Verl 3-0 1860 München,2026-05-16
Verl,2.06,1.66,0.40,1.30,1.62,-0.32,0.00,0.04,-0.04,1.30,1.66,-0.36,3,0,3,2.60,63.50,63.82,46.66,1.29,1.14,338,17,11,9,8.53,7.89,15.57,4,4,15,6,11,128.4,71.49,19.53,13.71,170.76,64.05,3,Verl 3-0 1860 München,2026-05-16
Havelse,2.95,2.91,0.04,2.19,2.04,0.15,0.00,0.10,-0.10,2.19,2.15,0.04,1,6,-5,-5.04,44.90,37.63,42.51,0.89,1.95,141,16,11,15,12.36,7.69,11.74,3,6,10,3,15,53.8,30.24,61.53,58.27,68.41,20.46,0,Alemannia Aachen 6-1 Havelse,2026-05-16
Alemannia Aachen,2.91,2.95,-0.04,2.04,2.19,-0.15,0.10,0.00,0.10,2.15,2.19,-0.04,6,1,5,5.04,55.10,62.37,47.62,1.95,0.89,214,29,15,11,7.69,12.36,10.34,6,3,16,7,15,124.1,69.76,44.07,41.73,265.92,79.54,0,Alemannia Aachen 6-1 Havelse,2026-05-16
Viktoria Köln,1.13,2.25,-1.12,1.11,1.23,-0.12,0.02,1.02,-1.00,1.13,2.25,-1.12,1,1,0,1.12,40.90,27.42,39.64,1.1,0.77,117,12,13,18,11.82,23.38,11.94,5,11,11,3,16,43.7,23.26,55.07,47.45,52.83,26.34,3,MSV Duisburg 1-1 Viktoria Köln,2026-05-16
MSV Duisburg,2.25,1.13,1.12,1.23,1.11,0.12,1.02,0.02,1.00,2.25,1.13,1.12,1,1,0,-1.12,59.10,72.58,51.50,0.77,1.1,298,15,18,13,23.38,11.82,7.20,11,5,36,13,11,144.2,76.74,61.0,52.55,147.77,73.66,8,MSV Duisburg 1-1 Viktoria Köln,2026-05-16
Energie Cottbus,1.80,2.48,-0.68,0.93,1.50,-0.57,0.86,0.21,0.65,1.80,1.72,0.08,1,0,1,1.68,44.00,47.97,46.33,1.18,1.23,162,17,10,15,8.47,12.2,10.18,7,5,13,5,17,100.6,41.28,55.73,67.31,107.03,59.26,1,Jahn Regensburg 0-1 Energie Cottbus,2026-05-16
Jahn Regensburg,2.48,1.80,0.68,1.50,0.93,0.57,0.21,0.86,-0.65,1.72,1.80,-0.08,0,1,-1,-1.68,56.00,52.03,48.66,1.23,1.18,222,12,15,10,12.2,8.47,7.68,5,7,25,1,11,143.1,58.72,27.07,32.69,73.57,40.74,1,Jahn Regensburg 0-1 Energie Cottbus,2026-05-16
Hoffenheim II,0.87,3.51,-2.64,0.87,3.01,-2.14,0.00,0.50,-0.50,0.87,3.51,-2.64,0,2,-2,0.64,54.80,48.38,41.17,0.51,0.82,198,10,6,18,11.76,21.95,12.79,2,6,15,3,15,44.7,23.03,21.67,19.22,7.53,3.29,3,Wehen Wiesbaden 2-0 Hoffenheim II,2026-05-16
Wehen Wiesbaden,3.51,0.87,2.64,3.01,0.87,2.14,0.50,0.00,0.50,3.51,0.87,2.64,2,0,2,-0.64,45.20,51.62,44.43,0.82,0.51,176,19,18,6,21.95,11.76,16.57,6,2,20,7,13,149.4,76.97,91.07,80.78,221.63,96.71,1,Wehen Wiesbaden 2-0 Hoffenheim II,2026-05-16
Rot-Weiss Essen,4.21,1.17,3.04,3.25,0.34,2.91,0.96,0.08,0.88,4.21,0.41,3.80,3,2,1,-2.04,69.10,78.53,53.47,2.63,0.16,360,42,40,7,15.21,43.75,7.39,4,1,47,12,15,339.3,97.61,12.67,8.93,253.97,88.81,7,Ulm 2-3 Rot-Weiss Essen,2026-05-16
