Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Guangdong Mingtu,0.65,0.61,0.04,0.65,0.49,0.16,0.00,0.12,-0.12,0.65,0.61,0.04,0,1,-1,-1.04,49.20,31.28,36.89,0.35,0.61,78,3,5,12,14.29,19.67,7.27,4,2,7,1,17,15.2,13.1,19.2,31.07,15.63,10.99,0,Guizhou Guiyang 1-0 Guangdong Mingtu,2026-04-04
Guizhou Guiyang,0.61,0.65,-0.04,0.49,0.65,-0.16,0.12,0.00,0.12,0.61,0.65,-0.04,1,0,1,1.04,50.80,68.72,48.08,0.61,0.35,166,7,12,5,19.67,14.29,6.11,2,4,23,10,17,100.8,86.9,42.6,68.93,126.63,89.01,0,Guizhou Guiyang 1-0 Guangdong Mingtu,2026-04-04
Wenzhou,0.50,1.23,-0.73,0.47,0.98,-0.51,0.03,0.25,-0.22,0.50,1.23,-0.73,1,1,0,0.73,60.20,47.62,42.49,0.44,0.43,195,8,8,9,18.18,20.93,10.13,2,6,13,1,16,68.6,55.64,16.07,14.29,38.53,28.33,1,Wuhan Three Towns II 1-1 Wenzhou,2026-04-04
Wuhan Three Towns II,1.23,0.50,0.73,0.98,0.47,0.51,0.25,0.03,0.22,1.23,0.50,0.73,1,1,0,-0.73,39.80,52.38,45.05,0.43,0.44,148,7,9,8,20.93,18.18,14.14,6,2,14,6,14,54.7,44.36,96.4,85.71,97.47,71.67,4,Wuhan Three Towns II 1-1 Wenzhou,2026-04-04
Shenzhen 2028,0.63,0.23,0.40,0.55,0.23,0.32,0.08,0.00,0.08,0.63,0.23,0.40,0,0,0,-0.40,65.10,56.75,42.77,0.5,0.33,202,11,14,8,28.0,24.24,7.84,4,4,19,7,15,110.4,79.94,4.87,3.11,54.13,31.42,0,Hangzhou Linping Wuyue 0-0 Shenzhen 2028,2026-04-04
Hangzhou Linping Wuyue,0.23,0.63,-0.40,0.23,0.55,-0.32,0.00,0.08,-0.08,0.23,0.63,-0.40,0,0,0,0.40,34.90,43.25,42.51,0.33,0.5,111,6,8,14,24.24,28.0,14.29,4,4,12,1,15,27.7,20.06,151.6,96.89,118.17,68.58,3,Hangzhou Linping Wuyue 0-0 Shenzhen 2028,2026-04-04
Jiangxi Lushan,0.23,0.29,-0.06,0.23,0.26,-0.03,0.00,0.03,-0.03,0.23,0.29,-0.06,1,1,0,0.06,43.20,42.57,47.42,0.18,0.34,141,2,6,9,33.33,26.47,9.26,3,1,10,1,22,45.1,42.27,63.53,81.6,76.23,79.19,0,Ganzhou Ruishi 1-1 Jiangxi Lushan,2026-04-04
Ganzhou Ruishi,0.29,0.23,0.06,0.26,0.23,0.03,0.03,0.00,0.03,0.29,0.23,0.06,1,1,0,-0.06,56.80,57.43,43.73,0.34,0.18,159,8,9,6,26.47,33.33,6.68,1,3,14,6,20,61.6,57.73,14.33,18.4,20.03,20.81,4,Ganzhou Ruishi 1-1 Jiangxi Lushan,2026-04-04
Chengdu Rongcheng II,0.57,0.78,-0.21,0.55,0.42,0.13,0.02,0.36,-0.34,0.57,0.78,-0.21,0,2,-2,-1.79,63.00,60.31,45.48,0.4,0.43,238,5,5,6,12.5,13.95,14.79,3,3,16,5,5,67.6,58.89,18.2,14.44,10.13,6.64,3,Guangzhou Dandelion 2-0 Chengdu Rongcheng II,2026-04-04
Guangzhou Dandelion,0.78,0.57,0.21,0.42,0.55,-0.13,0.36,0.02,0.34,0.78,0.57,0.21,2,0,2,1.79,37.00,39.69,42.92,0.43,0.4,121,10,6,5,13.95,12.5,19.60,3,3,17,7,11,47.2,41.11,107.87,85.56,142.4,93.36,1,Guangzhou Dandelion 2-0 Chengdu Rongcheng II,2026-04-04
Shanxi Chongde Ronghai,0.30,1.96,-1.66,0.29,1.96,-1.67,0.01,0.00,0.01,0.30,1.96,-1.66,1,2,-1,0.66,58.40,45.6,42.85,0.36,0.84,186,5,7,15,19.44,17.86,7.79,3,5,10,3,12,54.0,28.88,16.87,14.58,26.73,11.99,1,Tai'an Tiankuang 2-1 Shanxi Chongde Ronghai,2026-04-04
Tai'an Tiankuang,1.96,0.30,1.66,1.96,0.29,1.67,0.00,0.01,-0.01,1.96,0.30,1.66,2,1,1,-0.66,41.60,54.4,51.24,0.84,0.36,183,17,15,7,17.86,19.44,11.26,5,3,30,6,19,133.0,71.12,98.8,85.42,196.27,88.01,3,Tai'an Tiankuang 2-1 Shanxi Chongde Ronghai,2026-04-04
Shanghai Second,0.67,1.20,-0.53,0.62,0.89,-0.27,0.05,0.31,-0.26,0.67,1.20,-0.53,2,3,-1,-0.47,59.20,58.19,43.85,0.35,0.41,174,10,12,10,34.29,24.39,9.36,1,3,19,6,14,74.3,68.35,16.33,21.79,42.67,36.79,7,Dalian Yingbo II 3-2 Shanghai Second,2026-04-04
Dalian Yingbo II,1.20,0.67,0.53,0.89,0.62,0.27,0.31,0.05,0.26,1.20,0.67,0.53,3,2,1,0.47,40.80,41.81,42.23,0.41,0.35,113,4,10,12,24.39,34.29,10.93,3,1,12,4,7,34.4,31.65,58.6,78.21,73.3,63.21,4,Dalian Yingbo II 3-2 Shanghai Second,2026-04-04
Wuhan Three Towns II,0.14,1.85,-1.71,0.14,1.59,-1.45,0.0,0.26,-0.26,0.14,1.85,-1.71,1,1,0,1.71,36.4,29.83,40.66,0.38,0.93,101,7,3,12,7.89,12.9,14.0,3,3,8,3,16,28.3,14.32,95.33,92.62,68.37,40.55,0,Shenzhen 2028 1-1 Wuhan Three Towns II,2026-03-22
Shenzhen 2028,1.85,0.14,1.71,1.59,0.14,1.45,0.26,0.0,0.26,1.85,0.14,1.71,1,1,0,-1.71,63.6,70.17,50.41,0.93,0.38,261,18,12,3,12.9,7.89,10.0,3,3,22,8,13,169.3,85.68,7.6,7.38,100.23,59.45,0,Shenzhen 2028 1-1 Wuhan Three Towns II,2026-03-22
Changchun Xidu,0.93,1.71,-0.78,0.17,1.7,-1.53,0.0,0.01,-0.01,0.17,1.71,-1.54,1,1,0,0.78,31.6,28.24,37.85,0.2,0.75,62,3,4,12,20.0,16.0,9.64,3,2,13,2,27,22.7,13.09,83.53,89.31,38.27,29.12,0,Qingdao Red Lions 1-1 Changchun Xidu,2026-03-22
Qingdao Red Lions,1.71,0.93,0.78,1.7,0.17,1.53,0.01,0.0,0.01,1.71,0.17,1.54,1,1,0,-0.78,68.4,71.76,52.13,0.75,0.2,261,9,12,4,16.0,20.0,4.71,2,3,18,5,18,150.7,86.91,10.0,10.69,93.13,70.88,0,Qingdao Red Lions 1-1 Changchun Xidu,2026-03-22
Chengdu Rongcheng II,0.69,0.33,0.36,0.69,0.24,0.45,0.0,0.09,-0.09,0.69,0.33,0.36,1,0,1,0.64,45.3,46.84,43.91,0.41,0.26,124,9,6,8,14.63,30.77,8.53,4,4,9,1,14,38.3,34.85,34.27,67.81,53.8,49.4,0,Wenzhou 0-1 Chengdu Rongcheng II,2026-03-22
Wenzhou,0.33,0.69,-0.36,0.24,0.69,-0.45,0.09,0.0,0.09,0.33,0.69,-0.36,0,1,-1,-0.64,54.7,53.16,43.2,0.26,0.41,149,8,8,6,30.77,14.63,7.5,4,4,11,2,13,71.6,65.15,16.27,32.19,55.1,50.6,4,Wenzhou 0-1 Chengdu Rongcheng II,2026-03-22
