Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Sarpsborg 08,1.73,1.21,0.52,0.94,1.05,-0.11,0.04,0.16,-0.12,0.97,1.21,-0.24,2,0,2,1.48,36.00,40.7,51.80,0.42,0.68,194,8,8,16,19.05,23.53,17.96,2,3,20,6,7,67.9,30.02,132.73,95.86,177.97,84.65,0,Sandefjord 0-2 Sarpsborg 08,2026-03-22
Sandefjord,1.21,1.73,-0.52,1.05,0.94,0.11,0.16,0.04,0.12,1.21,0.97,0.24,0,2,-2,-1.48,64.00,59.3,48.25,0.68,0.42,310,13,16,8,23.53,19.05,9.69,3,2,29,9,18,158.3,69.98,5.73,4.14,32.27,15.35,0,Sandefjord 0-2 Sarpsborg 08,2026-03-22
KFUM,1.80,2.16,-0.36,1.48,2.13,-0.65,0.31,0.03,0.28,1.80,2.16,-0.36,1,3,-2,-1.64,64.50,55.72,45.82,0.77,0.66,286,17,13,16,16.88,24.24,11.25,1,11,20,5,11,139.2,66.83,11.73,7.06,50.8,31.23,2,Fredrikstad 3-1 KFUM,2026-03-22
Fredrikstad,2.16,1.80,0.36,2.13,1.48,0.65,0.03,0.31,-0.28,2.16,1.80,0.36,3,1,2,1.64,35.50,44.28,48.52,0.66,0.77,165,19,16,13,24.24,16.88,16.90,11,1,20,5,7,69.1,33.17,154.4,92.94,111.87,68.77,4,Fredrikstad 3-1 KFUM,2026-03-22
Tromsø,2.52,1.45,1.07,2.12,1.28,0.84,0.40,0.17,0.23,2.52,1.45,1.07,2,1,1,-0.07,38.80,35.69,43.15,0.96,0.77,141,14,13,10,13.54,12.99,21.14,3,5,19,9,12,69.3,31.53,72.4,76.43,105.8,55.62,3,Brann 1-2 Tromsø,2026-03-22
Brann,1.45,2.52,-1.07,1.28,2.12,-0.84,0.17,0.40,-0.23,1.45,2.52,-1.07,1,2,-1,0.07,61.20,64.31,50.27,0.77,0.96,307,20,10,13,12.99,13.54,9.93,5,3,21,6,12,150.5,68.47,22.33,23.57,84.43,44.38,4,Brann 1-2 Tromsø,2026-03-22
Vålerenga,1.48,0.95,0.53,0.93,0.56,0.37,0.55,0.39,0.16,1.48,0.95,0.53,2,0,2,1.47,40.10,28.15,37.50,0.31,0.67,111,9,10,12,32.26,17.91,11.94,1,9,12,6,19,27.5,13.08,73.87,68.65,67.83,35.64,1,Rosenborg 0-2 Vålerenga,2026-03-22
Rosenborg,0.95,1.48,-0.53,0.56,0.93,-0.37,0.39,0.55,-0.16,0.95,1.48,-0.53,0,2,-2,-1.47,59.90,71.85,51.97,0.67,0.31,320,20,12,10,17.91,32.26,9.38,9,1,29,16,9,182.8,86.92,33.73,31.35,122.5,64.36,1,Rosenborg 0-2 Vålerenga,2026-03-22
Molde,3.34,4.48,-1.14,2.08,4.24,-2.16,1.26,0.24,1.02,3.34,4.48,-1.14,1,4,-3,-1.86,66.00,56.82,43.10,1.12,1.17,229,16,12,12,10.71,10.26,5.86,6,7,27,9,15,111.5,59.4,11.2,6.82,14.86,6.87,3,Viking 4-1 Molde,2026-03-21
Viking,4.48,3.34,1.14,4.24,2.08,2.16,0.24,1.26,-1.02,4.48,3.34,1.14,4,1,3,1.86,34.00,43.18,46.63,1.17,1.12,144,18,12,12,10.26,10.71,12.52,7,6,15,3,20,76.2,40.6,153.07,93.18,201.46,93.13,3,Viking 4-1 Molde,2026-03-21
Aalesund,1.45,3.41,-1.96,1.44,0.95,0.49,0.01,1.69,-1.68,1.45,2.65,-1.20,1,1,0,1.96,42.20,38.46,47.42,0.75,1.0,167,13,10,16,13.33,16.0,18.21,1,6,13,2,13,52.9,27.87,80.27,87.69,90.43,51.42,1,Start 1-1 Aalesund,2026-03-21
Start,3.41,1.45,1.96,0.95,1.44,-0.49,1.69,0.01,1.68,2.65,1.45,1.20,1,1,0,-1.96,57.80,61.54,51.65,1.0,0.75,280,17,16,10,16.0,13.33,7.44,6,1,35,11,14,136.9,72.13,11.27,12.31,85.43,48.58,4,Start 1-1 Aalesund,2026-03-21
