Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Stade Briochin,2.86,4.43,-1.57,2.77,4.28,-1.51,0.10,0.15,-0.05,2.86,4.43,-1.57,2,2,0,1.57,42.20,31.61,40.42,0.57,1.68,127,10,14,32,24.56,19.05,17.39,0,6,10,2,16,23.4,11.39,54.6,78.22,34.23,15.95,1,Versailles 2-2 Stade Briochin,2026-05-15
Versailles,4.43,2.86,1.57,4.28,2.77,1.51,0.15,0.10,0.05,4.43,2.86,1.57,2,2,0,-1.57,57.80,68.39,53.84,1.68,0.57,271,24,32,14,19.05,24.56,8.46,6,0,23,8,14,182.0,88.61,15.2,21.78,180.43,84.05,1,Versailles 2-2 Stade Briochin,2026-05-15
Châteauroux,1.62,1.98,-0.36,1.06,1.82,-0.76,0.56,0.16,0.40,1.62,1.98,-0.36,2,2,0,0.36,49.70,57.59,50.89,1.0,0.86,245,15,18,14,18.0,16.28,9.60,7,7,28,4,14,114.6,65.9,62.0,67.3,142.2,63.7,1,Valenciennes 2-2 Châteauroux,2026-05-15
Valenciennes,1.98,1.62,0.36,1.82,1.06,0.76,0.16,0.56,-0.40,1.98,1.62,0.36,2,2,0,-0.36,50.30,42.41,43.14,0.86,1.0,168,12,14,18,16.28,18.0,9.15,7,7,15,5,15,59.3,34.1,30.13,32.7,81.03,36.3,2,Valenciennes 2-2 Châteauroux,2026-05-15
Paris 13 Atletico,1.07,2.40,-1.33,0.99,1.57,-0.58,0.07,0.07,0.00,1.07,1.64,-0.57,0,1,-1,0.33,55.20,37.34,36.61,0.26,0.51,135,5,8,24,30.77,47.06,11.70,6,16,6,3,10,35.0,16.76,13.87,10.87,26.07,8.64,3,Quevilly-Rouen Métropole 1-0 Paris 13 Atletico,2026-05-15
Quevilly-Rouen Métropole,2.40,1.07,1.33,1.57,0.99,0.58,0.07,0.07,0.00,1.64,1.07,0.57,1,0,1,-0.33,44.80,62.66,48.76,0.51,0.26,195,15,24,8,47.06,30.77,12.13,16,6,19,7,7,173.8,83.24,113.73,89.13,275.73,91.36,2,Quevilly-Rouen Métropole 1-0 Paris 13 Atletico,2026-05-15
Le Puy Foot,0.80,2.14,-1.34,0.60,2.13,-1.53,0.21,0.01,0.20,0.80,2.14,-1.34,2,2,0,1.34,48.20,24.9,33.96,0.46,0.87,94,5,7,20,15.22,22.99,14.26,4,14,6,3,6,9.5,5.07,47.0,30.89,21.4,7.05,0,Sochaux 2-2 Le Puy Foot,2026-05-15
Sochaux,2.14,0.80,1.34,2.13,0.60,1.53,0.01,0.21,-0.20,2.14,0.80,1.34,2,2,0,-1.34,51.80,75.1,50.74,0.87,0.46,277,11,20,7,22.99,15.22,10.95,14,4,14,5,10,177.8,94.93,105.13,69.11,282.33,92.95,1,Sochaux 2-2 Le Puy Foot,2026-05-15
Rouen,2.93,0.76,2.17,2.14,0.73,1.41,0.03,0.03,0.00,2.17,0.76,1.41,2,1,1,-1.17,55.90,63.3,54.07,1.26,0.2,255,21,16,9,12.7,45.0,8.11,5,5,21,8,12,165.9,89.58,34.47,51.19,169.57,88.3,2,Fleury 1-2 Rouen,2026-05-15
Fleury,0.76,2.93,-2.17,0.73,2.14,-1.41,0.03,0.03,0.00,0.76,2.17,-1.41,1,2,-1,1.17,44.10,36.7,45.72,0.2,1.26,147,6,9,16,45.0,12.7,8.89,5,5,14,4,17,19.3,10.42,32.87,48.81,22.47,11.7,0,Fleury 1-2 Rouen,2026-05-15
