Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Giravanz Kitakyushu,1.35,0.69,0.66,1.31,0.59,0.72,0.04,0.10,-0.06,1.35,0.69,0.66,0,1,-1,-1.66,58.10,44.17,46.45,0.55,0.54,217,10,10,11,18.18,20.37,11.21,2,2,17,6,9,84.3,41.71,9.27,8.03,36.67,18.0,0,Reilac Shiga 1-0 Giravanz Kitakyushu,2026-05-17
Reilac Shiga,0.69,1.35,-0.66,0.59,1.31,-0.72,0.10,0.04,0.06,0.69,1.35,-0.66,1,0,1,1.66,41.90,55.83,50.96,0.54,0.55,189,18,11,10,20.37,18.18,18.08,2,2,30,8,8,117.8,58.29,106.2,91.97,167.1,82.0,5,Reilac Shiga 1-0 Giravanz Kitakyushu,2026-05-17
Roasso Kumamoto,0.09,1.87,-1.78,0.08,1.25,-1.17,0.00,0.62,-0.62,0.09,1.87,-1.78,1,2,-1,0.78,48.70,30.13,40.63,0.15,1.39,111,3,4,18,26.67,12.95,11.15,3,4,10,5,12,28.0,12.01,14.73,18.79,13.93,5.13,1,Kagoshima United 2-1 Roasso Kumamoto,2026-05-17
Kagoshima United,1.87,0.09,1.78,1.25,0.08,1.17,0.62,0.00,0.62,1.87,0.09,1.78,2,1,1,-0.78,51.30,69.87,56.54,1.39,0.15,213,19,18,4,12.95,26.67,11.31,4,3,25,6,10,205.1,87.99,63.67,81.21,257.47,94.87,7,Kagoshima United 2-1 Roasso Kumamoto,2026-05-17
Tegevajaro Miyazaki,2.19,0.57,1.62,1.74,0.49,1.25,0.45,0.08,0.37,2.19,0.57,1.62,2,1,1,-0.62,55.10,59.42,45.93,0.78,0.28,183,7,14,8,17.95,28.57,12.16,3,5,22,8,10,130.3,70.66,46.07,57.16,138.9,77.22,2,Oita Trinita 1-2 Tegevajaro Miyazaki,2026-05-17
Oita Trinita,0.57,2.19,-1.62,0.49,1.74,-1.25,0.08,0.45,-0.37,0.57,2.19,-1.62,1,2,-1,0.62,44.90,40.58,41.44,0.28,0.78,136,7,8,14,28.57,17.95,12.07,5,3,13,3,12,54.1,29.34,34.53,42.84,40.97,22.78,1,Oita Trinita 1-2 Tegevajaro Miyazaki,2026-05-17
Ehime,0.52,0.30,0.22,0.48,0.18,0.30,0.04,0.12,-0.08,0.52,0.30,0.22,1,0,1,0.78,47.60,58.84,49.55,0.33,0.16,254,4,8,7,24.24,43.75,13.37,7,4,18,4,15,119.4,71.16,76.4,78.82,168.23,89.25,1,Kochi United 0-1 Ehime,2026-05-17
Kochi United,0.30,0.52,-0.22,0.18,0.48,-0.30,0.12,0.04,0.08,0.30,0.52,-0.22,0,1,-1,-0.78,52.40,41.16,40.39,0.16,0.33,159,6,7,8,43.75,24.24,13.93,4,7,13,7,11,48.4,28.84,20.53,21.18,20.27,10.75,0,Kochi United 0-1 Ehime,2026-05-17
Kamatamare Sanuki,0.43,0.75,-0.32,0.43,0.59,-0.16,0.00,0.16,-0.16,0.43,0.75,-0.32,2,1,1,1.32,49.80,61.07,53.41,0.29,0.38,185,11,9,11,31.03,28.95,12.05,2,2,9,2,8,82.8,63.25,44.93,60.28,99.5,63.71,3,Imabari 1-2 Kamatamare Sanuki,2026-05-17
Imabari,0.75,0.43,0.32,0.59,0.43,0.16,0.16,0.00,0.16,0.75,0.43,0.32,1,2,-1,-1.32,50.20,38.93,46.07,0.38,0.29,138,7,11,9,28.95,31.03,15.71,2,2,20,5,9,48.1,36.75,29.6,39.72,56.67,36.29,4,Imabari 1-2 Kamatamare Sanuki,2026-05-17
Zweigen Kanazawa,0.74,0.91,-0.17,0.73,0.49,0.24,0.01,0.41,-0.40,0.74,0.91,-0.17,1,1,0,0.17,42.10,40.69,47.61,0.48,1.49,131,6,8,14,16.67,9.4,14.22,5,4,14,2,9,31.8,20.0,54.53,85.2,50.3,38.56,1,Osaka 1-1 Zweigen Kanazawa,2026-05-17
Osaka,0.91,0.74,0.17,0.49,0.73,-0.24,0.41,0.01,0.40,0.91,0.74,0.17,1,1,0,-0.17,57.90,59.31,49.69,1.49,0.48,212,18,14,8,9.4,16.67,11.23,4,5,23,3,10,127.2,80.0,9.47,14.8,80.13,61.44,2,Osaka 1-1 Zweigen Kanazawa,2026-05-17
Tokushima Vortis,1.71,2.38,-0.67,1.64,1.76,-0.12,0.07,0.61,-0.54,1.71,2.38,-0.67,2,2,0,0.67,51.50,51.25,44.34,0.85,0.68,213,19,17,19,20.0,27.94,14.82,8,3,12,3,12,84.5,43.92,23.47,22.03,55.37,27.31,0,Kataller Toyama 2-2 Tokushima Vortis,2026-05-17
Kataller Toyama,2.38,1.71,0.67,1.76,1.64,0.12,0.61,0.07,0.54,2.38,1.71,0.67,2,2,0,-0.67,48.50,48.75,47.35,0.68,0.85,234,11,19,17,27.94,20.0,20.27,3,8,17,5,8,107.9,56.08,83.07,77.97,147.37,72.69,0,Kataller Toyama 2-2 Tokushima Vortis,2026-05-17
Nagano Parceiro,1.19,0.52,0.67,0.53,0.50,0.03,0.66,0.02,0.64,1.19,0.52,0.67,2,1,1,0.33,34.80,41.9,51.84,0.75,0.69,145,16,13,13,17.33,18.84,15.29,5,3,20,4,10,79.2,40.18,153.8,94.98,161.83,74.13,4,Omiya Ardija 1-2 Nagano Parceiro,2026-05-17
Omiya Ardija,0.52,1.19,-0.67,0.50,0.53,-0.03,0.02,0.66,-0.64,0.52,1.19,-0.67,1,2,-1,-0.33,65.20,58.1,43.46,0.69,0.75,204,11,13,13,18.84,17.33,8.42,3,5,9,2,9,117.9,59.82,8.13,5.02,56.47,25.87,3,Omiya Ardija 1-2 Nagano Parceiro,2026-05-17
