Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Gyeongnam,1.78,0.51,1.27,1.78,0.51,1.27,0.00,0.00,0.00,1.78,0.51,1.27,1,1,0,-1.27,58.30,68.34,50.55,0.97,0.1,288,21,15,8,15.46,80.0,7.81,10,4,25,0,14,160.4,80.85,32.07,30.29,140.13,70.92,2,Ansan Greeners 1-1 Gyeongnam,2026-03-28
Ansan Greeners,0.51,1.78,-1.27,0.51,1.78,-1.27,0.00,0.00,0.00,0.51,1.78,-1.27,1,1,0,1.27,41.70,31.66,43.22,0.1,0.97,144,4,8,15,80.0,15.46,10.86,4,10,7,2,12,38.0,19.15,73.8,69.71,57.47,29.08,0,Ansan Greeners 1-1 Gyeongnam,2026-03-28
Jeonnam Dragons,1.70,0.83,0.87,1.32,0.71,0.61,0.39,0.12,0.27,1.70,0.83,0.87,0,1,-1,-1.87,54.60,64.36,48.30,0.9,0.49,246,26,15,9,16.67,18.37,10.72,4,2,26,11,12,114.5,73.21,46.0,48.49,92.4,75.69,4,Cheonan City 1-0 Jeonnam Dragons,2026-03-28
Cheonan City,0.83,1.70,-0.87,0.71,1.32,-0.61,0.12,0.39,-0.27,0.83,1.70,-0.87,1,0,1,1.87,45.40,35.64,42.54,0.49,0.9,152,5,9,15,18.37,16.67,14.69,2,4,13,2,14,41.9,26.79,48.87,51.51,29.67,24.31,3,Cheonan City 1-0 Jeonnam Dragons,2026-03-28
Gimpo Citizen,1.14,0.82,0.32,0.69,0.79,-0.10,0.46,0.02,0.44,1.14,0.82,0.32,0,0,0,-0.32,44.20,53.33,49.33,0.83,1.08,264,12,10,5,12.05,4.63,20.92,0,6,13,4,14,100.3,60.39,87.87,69.33,123.1,75.66,0,Seongnam 0-0 Gimpo Citizen,2026-03-28
Seongnam,0.82,1.14,-0.32,0.79,0.69,0.10,0.02,0.46,-0.44,0.82,1.14,-0.32,0,0,0,0.32,55.80,46.67,48.59,1.08,0.83,305,5,5,10,4.63,12.05,13.00,6,0,11,3,8,65.8,39.61,38.87,30.67,39.6,24.34,0,Seongnam 0-0 Gimpo Citizen,2026-03-28
Hwaseong,0.48,2.33,-1.85,0.34,1.68,-1.34,0.15,0.66,-0.51,0.48,2.33,-1.85,0,1,-1,0.85,57.10,50.79,48.17,0.68,1.06,240,13,8,11,11.76,10.38,10.34,5,4,18,3,15,87.6,43.37,24.27,21.86,43.4,22.0,0,Chungnam Asan 1-0 Hwaseong,2026-03-28
Chungnam Asan,2.33,0.48,1.85,1.68,0.34,1.34,0.66,0.15,0.51,2.33,0.48,1.85,1,0,1,-0.85,42.90,49.21,49.85,1.06,0.68,196,12,11,8,10.38,11.76,12.68,4,5,11,4,13,114.4,56.63,86.73,78.14,153.87,78.0,1,Chungnam Asan 1-0 Hwaseong,2026-03-28
Suwon Bluewings,1.25,0.59,0.66,1.21,0.56,0.65,0.04,0.04,0.00,1.25,0.59,0.66,1,0,1,0.34,49.80,62.35,47.81,0.69,0.47,202,17,17,7,24.64,14.89,8.57,11,6,15,3,10,127.6,76.91,50.53,54.18,156.7,80.65,2,Yongin 0-1 Suwon Bluewings,2026-03-28
Yongin,0.59,1.25,-0.66,0.56,1.21,-0.65,0.04,0.04,0.00,0.59,1.25,-0.66,0,1,-1,-0.34,50.20,37.65,40.76,0.47,0.69,133,10,7,17,14.89,24.64,9.00,6,11,19,5,17,38.3,23.09,42.73,45.82,37.6,19.35,1,Yongin 0-1 Suwon Bluewings,2026-03-28
Gimpo Citizen,1.61,0.48,1.13,1.01,0.45,0.56,0.61,0.03,0.58,1.61,0.48,1.13,0,1,-1,-2.13,56.20,71.57,50.02,0.8,0.25,255,17,17,9,21.25,36.0,8.69,8,4,34,9,12,192.6,87.11,63.27,66.32,211.6,91.06,4,Gyeongnam 1-0 Gimpo Citizen,2026-03-22
Gyeongnam,0.48,1.61,-1.13,0.45,1.01,-0.56,0.03,0.61,-0.58,0.48,1.61,-1.13,1,0,1,2.13,43.80,28.43,39.42,0.25,0.8,115,4,9,17,36.0,21.25,7.26,4,8,6,1,15,28.5,12.89,32.13,33.68,20.77,8.94,0,Gyeongnam 1-0 Gimpo Citizen,2026-03-22
Daegu,0.73,0.63,0.10,0.67,0.63,0.04,0.06,0.00,0.06,0.73,0.63,0.10,1,3,-2,-2.10,67.00,71.47,51.65,1.02,0.4,329,18,13,8,12.75,20.0,5.38,7,5,38,8,10,158.9,85.8,19.53,13.41,77.63,49.82,4,Busan IPark 3-1 Daegu,2026-03-22
Busan IPark,0.63,0.73,-0.10,0.63,0.67,-0.04,0.00,0.06,-0.06,0.63,0.73,-0.10,3,1,2,2.10,33.00,28.53,43.63,0.4,1.02,119,6,8,13,20.0,12.75,14.10,5,7,7,1,20,26.3,14.2,126.13,86.59,78.2,50.18,1,Busan IPark 3-1 Daegu,2026-03-22
Yongin,0.81,0.73,0.08,0.79,0.73,0.06,0.02,0.00,0.02,0.81,0.73,0.08,0,0,0,-0.08,53.80,48.94,42.78,0.49,0.43,209,14,13,7,26.53,16.28,14.07,3,2,10,3,10,84.5,55.63,34.87,29.14,60.67,39.35,0,Hwaseong 0-0 Yongin,2026-03-22
Hwaseong,0.73,0.81,-0.08,0.73,0.79,-0.06,0.00,0.02,-0.02,0.73,0.81,-0.08,0,0,0,0.08,46.20,51.06,46.44,0.43,0.49,211,8,7,13,16.28,26.53,23.32,2,3,17,4,10,67.4,44.37,84.8,70.86,93.5,60.65,1,Hwaseong 0-0 Yongin,2026-03-22
Ansan Greeners,0.75,1.61,-0.86,0.68,1.01,-0.33,0.07,0.61,-0.54,0.75,1.61,-0.86,1,1,0,0.86,33.90,29.89,41.69,0.44,0.68,98,11,10,20,22.73,29.41,14.71,5,7,9,1,11,47.8,17.28,115.47,89.88,75.97,34.62,2,Chungbuk Cheongju 1-1 Ansan Greeners,2026-03-21
Chungbuk Cheongju,1.61,0.75,0.86,1.01,0.68,0.33,0.61,0.07,0.54,1.61,0.75,0.86,1,1,0,-0.86,66.10,70.11,52.59,0.68,0.44,343,14,20,10,29.41,22.73,7.79,7,5,29,8,15,228.8,82.72,13.0,10.12,143.5,65.38,1,Chungbuk Cheongju 1-1 Ansan Greeners,2026-03-21
Seoul E-Land,0.84,1.48,-0.64,0.77,1.46,-0.69,0.06,0.02,0.04,0.84,1.48,-0.64,0,0,0,0.64,51.80,35.0,44.91,0.49,0.59,196,11,8,19,16.33,32.2,10.70,1,6,21,7,13,62.8,28.68,49.53,46.64,45.9,23.87,0,Cheonan City 0-0 Seoul E-Land,2026-03-21
Cheonan City,1.48,0.84,0.64,1.46,0.77,0.69,0.02,0.06,-0.04,1.48,0.84,0.64,0,0,0,-0.64,48.20,65.0,54.85,0.59,0.49,303,16,19,8,32.2,16.33,13.12,6,1,28,5,11,156.2,71.32,56.67,53.36,146.43,76.13,2,Cheonan City 0-0 Seoul E-Land,2026-03-21
Suwon Bluewings,0.90,0.80,0.10,0.85,0.68,0.17,0.05,0.12,-0.07,0.90,0.80,0.10,3,0,3,2.90,60.00,47.4,40.55,0.37,0.4,137,7,9,11,24.32,27.5,7.92,3,9,12,2,13,50.5,47.69,16.93,16.86,37.8,30.6,2,Gimhae City 0-3 Suwon Bluewings,2026-03-21
Gimhae City,0.80,0.90,-0.10,0.68,0.85,-0.17,0.12,0.05,0.07,0.80,0.90,-0.10,0,3,-3,-2.90,40.00,52.6,42.72,0.4,0.37,118,6,11,9,27.5,24.32,9.29,9,3,17,1,15,55.4,52.31,83.47,83.14,85.73,69.4,1,Gimhae City 0-3 Suwon Bluewings,2026-03-21
Jeonnam Dragons,0.52,1.43,-0.91,0.44,0.62,-0.18,0.08,0.05,0.03,0.52,0.67,-0.15,0,2,-2,-1.09,63.90,67.66,49.76,0.82,0.56,271,13,11,7,13.41,12.5,7.71,4,8,29,6,18,150.6,80.58,8.93,7.82,81.97,46.96,3,Paju Frontier 2-0 Jeonnam Dragons,2026-03-21
Paju Frontier,1.43,0.52,0.91,0.62,0.44,0.18,0.05,0.08,-0.03,0.67,0.52,0.15,2,0,2,1.09,36.10,32.34,45.43,0.56,0.82,129,10,7,11,12.5,13.41,8.78,8,4,13,2,15,36.3,19.42,105.2,92.18,92.57,53.04,1,Paju Frontier 2-0 Jeonnam Dragons,2026-03-21
Chungnam Asan,0.83,0.96,-0.13,0.79,0.68,0.11,0.04,0.27,-0.23,0.83,0.96,-0.13,1,2,-1,-0.87,51.70,46.33,48.51,0.94,0.26,216,12,9,7,9.57,26.92,9.56,7,5,22,7,13,69.1,40.01,36.0,33.13,45.07,25.11,0,Seongnam 2-1 Chungnam Asan,2026-03-21
Seongnam,0.96,0.83,0.13,0.68,0.79,-0.11,0.27,0.04,0.23,0.96,0.83,0.13,2,1,1,0.87,48.30,53.67,52.38,0.26,0.94,232,13,7,9,26.92,9.57,11.03,5,7,17,7,15,103.6,59.99,72.67,66.87,134.43,74.89,0,Seongnam 2-1 Chungnam Asan,2026-03-21
Cheonan City,1.46,1.52,-0.06,0.7,1.31,-0.61,0.0,0.21,-0.21,0.7,1.52,-0.82,2,2,0,0.06,57.4,57.83,47.41,0.77,0.74,236,9,13,20,16.88,27.03,9.35,7,2,20,3,8,84.5,56.86,22.2,21.51,51.03,34.96,3,Hwaseong 2-2 Cheonan City,2026-03-15
Hwaseong,1.52,1.46,0.06,1.31,0.7,0.61,0.21,0.0,0.21,1.52,0.7,0.82,2,2,0,-0.06,42.6,42.17,43.43,0.74,0.77,139,11,20,13,27.03,16.88,19.67,2,7,14,3,10,64.1,43.14,81.0,78.49,94.93,65.04,2,Hwaseong 2-2 Cheonan City,2026-03-15
Paju Frontier,2.76,1.61,1.15,1.86,0.85,1.01,0.14,0.0,0.14,2.0,0.85,1.15,2,1,1,-0.15,42.4,50.49,47.45,0.66,0.25,166,16,18,9,27.27,36.0,10.27,4,5,19,6,16,142.8,62.85,82.67,84.3,185.33,88.84,0,Ansan Greeners 1-2 Paju Frontier,2026-03-15
Ansan Greeners,1.61,2.76,-1.15,0.85,1.86,-1.01,0.0,0.14,-0.14,0.85,2.0,-1.15,1,2,-1,0.15,57.6,49.51,44.69,0.25,0.66,186,3,9,18,36.0,27.27,7.0,5,4,20,2,22,84.4,37.15,15.4,15.7,23.27,11.16,1,Ansan Greeners 1-2 Paju Frontier,2026-03-15
Daegu,1.1,1.68,-0.58,1.05,0.89,0.16,0.04,0.03,0.01,1.1,0.92,0.18,3,2,1,1.58,53.3,58.15,50.61,1.0,1.13,247,17,14,16,14.0,14.16,9.49,5,3,29,6,19,130.8,71.24,40.87,43.57,118.1,81.47,2,Chungnam Asan 2-3 Daegu,2026-03-15
Chungnam Asan,1.68,1.1,0.58,0.89,1.05,-0.16,0.03,0.04,-0.01,0.92,1.1,-0.18,2,3,-1,-1.58,46.7,41.85,44.43,1.13,1.0,149,24,16,14,14.16,14.0,10.69,3,5,22,4,10,52.8,28.76,52.93,56.43,26.87,18.53,0,Chungnam Asan 2-3 Daegu,2026-03-15
Chungbuk Cheongju,1.34,0.85,0.49,1.32,0.85,0.47,0.03,0.0,0.03,1.34,0.85,0.49,2,2,0,-0.49,68.3,71.24,48.31,0.77,0.46,288,14,9,9,11.69,19.57,5.8,8,5,24,2,15,167.6,82.16,3.73,2.36,67.63,39.31,0,Gyeongnam 2-2 Chungbuk Cheongju,2026-03-14
Gyeongnam,0.85,1.34,-0.49,0.85,1.32,-0.47,0.0,0.03,-0.03,0.85,1.34,-0.49,2,2,0,0.49,31.7,28.76,41.84,0.46,0.77,79,11,9,9,19.57,11.69,16.59,5,8,11,1,17,36.4,17.84,154.2,97.64,104.4,60.69,1,Gyeongnam 2-2 Chungbuk Cheongju,2026-03-14
Gimpo Citizen,1.75,0.84,0.91,1.7,0.25,1.45,0.05,0.59,-0.54,1.75,0.84,0.91,3,1,2,1.09,44.2,45.93,44.83,0.98,0.69,155,10,16,8,16.33,11.59,10.84,5,3,9,1,17,91.3,53.64,83.67,84.23,148.57,85.86,1,Yongin 1-3 Gimpo Citizen,2026-03-14
Yongin,0.84,1.75,-0.91,0.25,1.7,-1.45,0.59,0.05,0.54,0.84,1.75,-0.91,1,3,-2,-1.09,55.8,54.07,43.21,0.69,0.98,193,14,8,16,11.59,16.33,14.04,3,5,18,5,10,78.9,46.36,15.67,15.77,24.47,14.14,1,Yongin 1-3 Gimpo Citizen,2026-03-14
Jeonnam Dragons,0.96,1.05,-0.09,0.7,0.62,0.08,0.26,0.43,-0.17,0.96,1.05,-0.09,0,2,-2,-1.91,42.3,39.3,43.48,0.22,0.73,137,6,8,7,36.36,9.59,11.56,2,4,9,5,17,39.0,32.26,84.47,83.03,62.07,42.93,0,Suwon Bluewings 2-0 Jeonnam Dragons,2026-03-14
Suwon Bluewings,1.05,0.96,0.09,0.62,0.7,-0.08,0.43,0.26,0.17,1.05,0.96,0.09,2,0,2,1.91,57.7,60.7,45.58,0.73,0.22,197,10,7,8,9.59,36.36,6.62,4,2,13,3,19,81.9,67.74,17.27,16.97,82.5,57.07,1,Suwon Bluewings 2-0 Jeonnam Dragons,2026-03-14
Busan IPark,1.9,1.83,0.07,1.55,1.83,-0.28,0.35,0.0,0.35,1.9,1.83,0.07,3,2,1,0.93,50.9,63.54,47.14,0.79,0.9,208,15,12,11,15.19,12.22,10.89,7,6,17,6,16,124.9,63.08,38.93,52.8,128.47,61.0,3,Seoul E-Land 2-3 Busan IPark,2026-03-14
