Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Penafiel,2.56,1.35,1.21,2.46,1.30,1.16,0.10,0.05,0.05,2.56,1.35,1.21,2,3,-1,-2.21,50.80,48.79,44.73,0.55,0.33,146,8,22,10,40.0,30.3,10.96,2,3,21,5,14,85.3,57.71,54.8,58.5,94.63,50.22,9,Torreense 3-2 Penafiel,2026-05-04
Torreense,1.35,2.56,-1.21,1.30,2.46,-1.16,0.05,0.10,-0.05,1.35,2.56,-1.21,3,2,1,2.21,49.20,51.21,44.56,0.33,0.55,145,8,10,22,30.3,40.0,8.77,3,2,9,4,11,62.5,42.29,38.87,41.5,93.8,49.78,0,Torreense 3-2 Penafiel,2026-05-04
Felgueiras 1932,1.15,0.26,0.89,1.00,0.26,0.74,0.15,0.00,0.15,1.15,0.26,0.89,0,1,-1,-1.89,42.90,51.76,51.63,0.52,0.25,173,14,13,5,25.0,20.0,10.64,4,6,31,9,13,106.9,65.7,91.93,76.91,139.5,82.75,0,Porto II 1-0 Felgueiras 1932,2026-05-04
Porto II,0.26,1.15,-0.89,0.26,1.00,-0.74,0.00,0.15,-0.15,0.26,1.15,-0.89,1,0,1,1.89,57.10,48.24,47.89,0.25,0.52,214,6,5,13,20.0,25.0,9.50,6,4,13,1,13,55.8,34.3,27.6,23.09,29.07,17.25,3,Porto II 1-0 Felgueiras 1932,2026-05-04
Farense,2.46,1.83,0.63,0.83,1.83,-1.00,0.11,0.00,0.11,0.94,1.83,-0.89,3,0,3,2.37,37.60,37.75,46.13,0.54,0.99,124,7,13,19,24.07,19.19,10.82,5,3,16,6,11,42.5,23.68,82.93,84.8,89.1,61.1,2,União de Leiria 0-3 Farense,2026-05-03
União de Leiria,1.83,2.46,-0.63,1.83,0.83,1.00,0.00,0.11,-0.11,1.83,0.94,0.89,0,3,-3,-2.37,62.40,62.25,48.48,0.99,0.54,220,15,19,13,19.19,24.07,8.88,3,5,24,2,15,137.0,76.32,14.87,15.2,56.73,38.9,2,União de Leiria 0-3 Farense,2026-05-03
Feirense,2.68,0.82,1.86,2.51,0.47,2.04,0.17,0.35,-0.18,2.68,0.82,1.86,2,1,1,-0.86,51.30,49.01,49.56,0.94,0.27,151,15,19,15,20.21,55.56,8.50,1,6,18,6,20,97.7,62.19,15.6,31.37,91.1,76.09,1,Paços de Ferreira 1-2 Feirense,2026-05-03
Paços de Ferreira,0.82,2.68,-1.86,0.47,2.51,-2.04,0.35,0.17,0.18,0.82,2.68,-1.86,1,2,-1,0.86,48.70,50.99,47.99,0.27,0.94,130,13,15,19,55.56,20.21,5.91,6,1,29,15,10,59.4,37.81,34.13,68.63,28.63,23.91,5,Paços de Ferreira 1-2 Feirense,2026-05-03
Chaves,1.28,1.38,-0.10,1.16,0.67,0.49,0.12,0.71,-0.59,1.28,1.38,-0.10,2,3,-1,-0.90,52.70,56.25,47.19,0.75,0.15,184,14,13,10,17.33,66.67,9.00,1,3,21,8,18,83.7,68.78,30.07,33.07,98.8,75.71,0,Portimonense 3-2 Chaves,2026-05-03
Portimonense,1.38,1.28,0.10,0.67,1.16,-0.49,0.71,0.12,0.59,1.38,1.28,0.10,3,2,1,0.90,47.30,43.75,45.77,0.15,0.75,147,15,10,13,66.67,17.33,8.47,3,1,20,7,15,38.0,31.22,60.87,66.93,31.7,24.29,10,Portimonense 3-2 Chaves,2026-05-03
