Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Muaither,2.48,1.89,0.59,2.32,1.66,0.66,0.16,0.23,-0.07,2.48,1.89,0.59,3,1,2,1.41,54.30,63.46,48.27,1.35,0.58,219,24,16,13,11.85,22.41,10.71,4,6,15,5,14,144.9,86.4,59.2,64.77,185.77,92.91,0,Al Mesaimeer 1-3 Muaither,2026-04-30
Al Mesaimeer,1.89,2.48,-0.59,1.66,2.32,-0.66,0.23,0.16,0.07,1.89,2.48,-0.59,1,3,-2,-1.41,45.70,36.54,38.59,0.58,1.35,123,7,13,16,22.41,11.85,11.31,6,4,11,5,7,22.8,13.6,32.2,35.23,14.17,7.09,3,Al Mesaimeer 1-3 Muaither,2026-04-30
Al Bidda,1.66,1.07,0.59,1.46,1.07,0.39,0.20,0.00,0.20,1.66,1.07,0.59,2,1,1,0.41,65.30,74.04,50.65,0.75,0.11,269,13,13,5,17.33,45.45,6.41,3,7,20,5,14,176.4,84.73,44.13,32.9,144.77,77.5,7,Lusail City 1-2 Al Bidda,2026-04-30
Lusail City,1.07,1.66,-0.59,1.07,1.46,-0.39,0.00,0.20,-0.20,1.07,1.66,-0.59,1,2,-1,-0.41,34.70,25.96,41.56,0.11,0.75,105,3,5,13,45.45,17.33,11.56,7,3,12,2,16,31.8,15.27,90.0,67.1,42.03,22.5,1,Lusail City 1-2 Al Bidda,2026-04-30
Al Waab,3.20,0.06,3.14,2.93,0.06,2.87,0.27,0.00,0.27,3.20,0.06,3.14,1,0,1,-2.14,66.50,83.23,52.85,1.77,0.13,328,26,22,3,12.43,23.08,6.09,13,2,36,7,15,347.9,99.23,17.53,17.79,289.6,97.81,0,Al Kharaitiyat 0-1 Al Waab,2026-04-30
Al Kharaitiyat,0.06,3.20,-3.14,0.06,2.93,-2.87,0.00,0.27,-0.27,0.06,3.20,-3.14,0,1,-1,2.14,33.50,16.77,33.39,0.13,1.77,55,1,3,22,23.08,12.43,14.36,2,13,1,1,10,2.7,0.77,81.0,82.21,6.47,2.19,0,Al Kharaitiyat 0-1 Al Waab,2026-04-30
Al Markhiya,2.19,3.49,-1.30,2.19,3.30,-1.11,0.00,0.19,-0.19,2.19,3.49,-1.30,3,0,3,4.30,43.70,41.82,46.42,0.94,1.02,163,15,14,24,14.89,23.53,11.39,1,4,9,5,13,62.7,32.34,31.13,41.4,67.2,33.8,0,Al Khor 0-3 Al Markhiya,2026-04-30
Al Khor,3.49,2.19,1.30,3.30,2.19,1.11,0.19,0.00,0.19,3.49,2.19,1.30,0,3,-3,-4.30,56.30,58.18,49.74,1.02,0.94,226,22,24,14,23.53,14.89,8.21,4,1,28,14,15,131.2,67.66,44.07,58.6,131.63,66.2,2,Al Khor 0-3 Al Markhiya,2026-04-30
Al Kharaitiyat,0.91,1.59,-0.68,0.89,0.76,0.13,0.02,0.84,-0.82,0.91,1.59,-0.68,2,1,1,1.68,38.20,29.66,38.80,0.26,0.62,90,9,8,19,30.77,30.65,21.39,1,4,10,1,9,17.3,8.77,59.73,78.18,37.37,22.35,1,Muaither 1-2 Al Kharaitiyat,2026-04-25
Muaither,1.59,0.91,0.68,0.76,0.89,-0.13,0.84,0.02,0.82,1.59,0.91,0.68,1,2,-1,-1.68,61.80,70.34,51.74,0.62,0.26,273,13,19,8,30.65,30.77,7.97,4,1,26,8,14,180.0,91.23,16.67,21.82,129.8,77.65,0,Muaither 1-2 Al Kharaitiyat,2026-04-25
